chimp,Colony,Status,Survey 1,BP 1,Weight 1 (kg),Survey 2,BP 2,Weight 2 (kg),Survey 3,BP 3,Weight 3 (kg)
Dona,Yerkes,Alive,3/30/10,181/109,96,4/8/08,140/70,85,1/13/98,138/76,52.2
Drew,Yerkes,Alive,6/16/11,116/58,74.5,2/16/11,95/40,66,7/29/10,105/44,68.5
Duff,Yerkes,Alive,11/18/10,133/66,60.36,10/10/07,145/61,61,,,
Edwina,Yerkes,Alive,11/3/11,121/64,53.5,3/24/11,144/84,71.5,12/3/09,124/61,68.5
Elvira,Yerkes,Alive,6/13/11,119/68,48.5,7/27/10,108/54,51,4/2/09,138/64,58.5
Elwood,Yerkes,Alive,11/17/10,135/66,63,9/14/09,177/76,66,10/2/07,190/90,65.5
Ericka,Yerkes,Alive,2/15/11,166/108,83,5/20/08,152/106,77,,,
Evelyne,Yerkes,Alive,4/29/11,130/69,70,2/25/10,137/64,73,4/27/09,146/67,74
Faye,Yerkes,Alive,7/8/11,166/100,63.5,12/17/09,104/58,60.5,9/18/08,107/56,59.5
Fiona,Yerkes,Alive,5/12/11,139/77,93.5,2/11/10,143/74,90,11/4/08,147/94,80.5
Foxy,Yerkes,Alive,3/3/11,135/71,60,12/17/09,126/68,66,1/15/08,120/68,58.5
Frannie,Yerkes,Alive,6/6/11,109/48,75.5,7/13/10,105/39,69,5/11/09,149/77,67
Fritz,Yerkes,Alive,11/17/10,119/69,90,10/5/09,132/65,99.5,11/5/08,146/80,83.5
Gelb,Yerkes,Alive,11/14/11,116/60,55.5,2/21/11,108/57,77.5,12/9/09,145/71,75
Georgia,Yerkes,Alive,4/21/09,149/93,81,,,,,,
Heppie,Yerkes,Deceased,11/2/09,204/128,51,10/27/09,78/39,55,6/2/09,110/57,55
Jacqueline,Yerkes,Alive,12/10/09,142/71,62,12/16/08,156/81,61.5,5/6/07,132/71,56.5
Jaimie,Yerkes,Alive,5/27/11,104/56,54,3/18/10,118/69,52.5,7/13/09,103/42,51
Jarred,Yerkes,Deceased,12/15/09,132/63,99.5,9/17/08,146/93,95,11/21/06,122/64,88
Jewelle,Yerkes,Alive,11/21/11,120/78,62.5,3/28/11,134/74,73.5,12/14/09,144/78,61.5
Jolson,Yerkes,Alive,2/18/11,115/43,84.5,1/5/10,142/75,85.5,8/7/08,176/69,77.5
Joseph,Yerkes,Alive,3/14/11,104/60,75,3/26/09,115/54,77.5,,,
Julianne,Yerkes,Alive,4/14/09,177/95,77.5,4/15/08,149/82,72.5,,,
Julie,Yerkes,Alive,10/29/10,128/60,63.5,2/10/10,116/45,79,7/20/09,129/48,75
Justin,Yerkes,Alive,2/21/11,128/71,71,12/3/09,128/67,63,4/30/08,133/94,64
Katrina,Yerkes,Alive,5/20/11,113/64,60.5,11/11/10,134/80,67,10/7/09,114/68,58
Kengee,Yerkes,Deceased,4/20/10,145/57,96.5,3/1/10,139/83,101.5,2/11/09,190/82,105.5
Kerri,Yerkes,Deceased,9/28/10,110/49,36.38,6/3/10,88/42,41,3/17/09,97/50,47.5
Lamar,Yerkes,Alive,2/16/11,122/61,68,12/15/09,102/44,64,9/17/08,121/58,67.5
Lena,Yerkes,Deceased,4/1/08,87/48,50.5,6/11/07,96/65,53.5,3/6/06,76/35,52.5
Leslie,Yerkes,Alive,3/10/11,211/115,77,2/9/10,144/90,74,5/20/08,200/100,72
Lil' One,Yerkes,Alive,4/25/11,124/86,44,3/11/10,125/83,40.5,6/10/08,152/102,41
Liza,Yerkes,Alive,6/20/11,135/61,61,7/14/10,117/60,75,5/4/09,122/146,75.5
Lucas,Yerkes,Alive,8/31/11,122/54,75.5,2/15/11,138/60,76,12/12/07,130/61,75
Lulu,Yerkes,Alive,3/17/11,185/115,48.5,2/10/10,102/50,42,3/10/08,145/81,42
Luther,Yerkes,Alive,8/18/09,131/66,59,8/6/08,151/72,58,10/10/07,147/71,50
Lux,Yerkes,Alive,3/31/10,185/126,78.5,10/12/09,168/95,79.5,4/18/07,158/93,68
Mai,Yerkes,Alive,11/10/09,142/90,69,11/11/08,176/99,63,12/4/07,189/109,64
Marietta,Yerkes,Alive,10/31/11,181/128,49.5,2/24/11,147/90,44,11/19/09,154/82,52.95
Martha,Yerkes,Alive,7/12/10,122/74,37,12/16/09,143/85,46,12/9/09,132/73,44
Mary,Yerkes,Alive,7/12/10,127/69,64,2/9/10,135/72,70,8/21/08,125/69,51.5
Maxine,Yerkes,Deceased,12/13/10,72/39,32.8,2/25/10,97/57,38,3/18/08,105/60,40.5
Melinda,Yerkes,Deceased,8/9/11,134/81,84,2/15/11,136/53,79.5,11/9/09,117/62,80
Melissa,Yerkes,Alive,10/25/10,187/117,95.45,4/5/10,183/91,94.5,6/2/09,207/118,101
Missy,Yerkes,Alive,12/1/09,134/89,61.5,12/4/07,117/61,67,,,
Patrick,Yerkes,Alive,7/22/11,139/69,62.5,1/5/10,129/64,58,9/18/08,200/80,62.5
Peony,Yerkes,Deceased,2/17/09,184/107,73,1/15/08,200/136,75.5,,,
Pericles,Yerkes,Alive,1/27/11,130/63,61.5,5/5/09,123/62,42,10/22/07,106/52,29
Ranette,Yerkes,Alive,5/18/10,161/106,87,11/17/09,130/87,108,11/14/08,140/90,97.3
Rebecca,Yerkes,Alive,3/21/11,124/75,45,12/10/09,106/62,47,10/28/08,104/73,42.5
Rita,Yerkes,Alive,3/2/10,119/75,68.4,2/24/09,123/73,68,,,
Rogger,Yerkes,Alive,12/15/11,130/59,82.5,9/2/11,113/74,76,7/13/11,139/66,64
Rowena,Yerkes,Alive,9/16/11,138/66,75,2/17/11,135/82,71.5,11/12/09,127/55,72.5
Sabrina,Yerkes,Alive,10/24/11,126/72,67.5,2/22/11,146/79,75.4,11/19/09,166/76,72.3
Samantha,Yerkes,Alive,10/14/10,116/68,72.5,11/17/09,152/77,74.5,12/18/08,114/45,71
Sara,Yerkes,Deceased,3/11/10,143/92,47,3/4/09,147/83,53.5,8/28/07,120/79,54.5
Scott,Yerkes,Alive,4/15/11,108/48,58,10/20/09,90/43,49.5,10/23/08,100/40,50
Shirley,Yerkes,Alive,10/17/11,125/68,69.5,2/14/11,147/81,83,11/6/09,108/56,79.5
Socrates,Yerkes,Alive,2/12/08,167/95,,,,,,,
Steward,Yerkes,Alive,10/25/11,140/71,68,2/5/08,135/46,63.4,,,
Suwanee,Yerkes,Alive,11/23/10,132/66,70,12/21/09,139/77,69.5,10/21/08,149/96,74
Sylvia,Yerkes,Alive,5/2/11,128/56,63,3/11/10,129/68,84.5,9/2/08,123/76,67
Tai,Yerkes,Alive,12/6/11,142/88,47,5/17/11,143/83,47.5,2/23/10,188/145,48.2
Tara,Yerkes,Alive,2/22/11,128/64,56.5,6/16/09,103/49,55.5,,,
Travis,Yerkes,Alive,4/5/10,136/78,93,10/20/09,136/74,91.5,6/23/08,148/08,93
Virginia,Yerkes,Alive,11/18/08,154/72,91.9,11/6/07,143/79,87,,,
Vivienne,Yerkes,Alive,2/1/11,130/90,65.5,6/9/09,119/74,62,5/27/08,137/80,61
Waga,Yerkes,Alive,7/1/09,133/68,76,11/20/07,107/52,79,,,
Wenka,Yerkes,Alive,1/24/11,154/88,53,4/15/08,176/94,51.5,8/1/06,221/128,44
Winston,Yerkes,Alive,9/15/10,145/86,93,10/19/09,137/77,78.5,10/29/08,141/81,77.5
