chimp,sex,maternity,paternity,momage,parity,bo,rearing, age ,hi,date1,rbc,wbc,hct,hgb,mcv,mch,mchc,lymph,monos,eos,date2,rbc2,wbc2,hct2,hgb2,mcv2,mch2,mchc2,lymp2,mono2,eos2,date3,rbc3,wbc3,hct3,hgb3,mcv3,mch3,mchc3,lymp3,mono3,eos3
Phillip,2,Lolita,Hep,17,4,4,1,19.5,0.63,22/01/1997,5.88,18200,41.5,13.3,70.6,22.6,32,9,0,6,15/01/1998,5.72,10000,40.3,13,70.5,22.7,32.3,47,7,4,11/01/1999,5.45,13500,39.1,12.5,71.7,22.9,32,33,0,1
Phineas,2,,,,,,1,31,-0.9,14/02/1997,4.99,15800,34.9,10.8,69.9,21.6,30.9,22,2,1,17/03/1998,5.2,17300,38,11.8,73.1,22.7,31.1,22,2,0,01/03/1999,5.57,12400,42.3,13.8,75.9,24.8,32.6,36,5,0
Polyanna,1,Lil'one,Jimoh,20.08,4,4,1,8,-0.33,27/02/1997,4.57,18900,29.6,9.1,64.8,19.9,30.7,34,1,2,19/04/1998,4.92,23700,28.9,9,58.7,18.3,31.1,36,4,2,09/02/1999,5.19,24100,38.1,12.4,73.4,23.9,32.5,8,2,0
Puddin,2,Mai,Hep,14,2,2,2,18,0.77,23/04/1997,6.21,10100,50.9,17,82,27.4,33.4,39,1,11,06/04/1998,5.8,11700,47.7,15.8,81.4,27,33.1,49,2,0,29/04/1999,5.79,12000,48.1,15.7,83.1,27.1,32.6,28,3,1
Ranette,1,Marilyne,Walnut,16,4,4,1,9,0.47,09/12/1996,5.35,14900,42.2,13.3,78.9,24.9,31.5,29,0,1,27/01/1998,5.33,13400,40.3,13.4,75.6,25.1,33.3,33,7,1,14/01/1999,5.01,12100,38.5,12.7,76.8,25.3,33,33,3,0
Reba,1,Flora,Web,18,4,2,2,38,0.69,02/04/1997,4.66,10500,40.7,43.7,87.3,29.4,33.7,60,1,2,22/04/1998,4.58,13000,38.7,13.4,84.5,29.3,34.6,43,7,3,27/04/1999,4.64,8500,40.3,13.3,86.9,28.7,33,55,6,0
Rebecca,1,Mickie,Frans,19.01,5,3,2,6.5,0.59,24/11/1997,5.41,9000,43.5,13.9,80.4,25.7,32,60,1,6,22/12/1998,4.93,7800,41.5,13.8,84.2,28,33.3,35,0,2,03/12/1999,4.47,12000,37.4,11.9,83.7,26.6,31.8,49,3,6
Reid,2,Cynthia,Phineas,13.08,2,2,1,3.5,0.12,21/02/1997,4.52,10100,35.9,11.9,79.4,26.3,33.1,43,0,3,10/03/1998,4.99,6900,39.9,13.8,80,27.7,34.6,34,0,5,11/03/1999,4.92,9100,41,14.3,83.3,29.1,34.9,14,1,3
Rhett,2,Atlanta,Walnut,24,4,2,1,7.5,0.38,29/10/1996,6.14,14900,48.8,15.5,79.5,25.2,31.8,50,0,0,06/01/1998,5.63,15100,41.9,13.2,74.4,23.4,31.5,21,2,0,05/01/1999,5.68,14600,40.5,12.7,71.3,22.4,31.4,27,5,2
Rita,1,Borie,Walnut,23,3,2,1,10,0.64,05/11/1997,5.11,15400,43.5,13.9,85.1,27.2,32,50,2,6,05/02/1998,5.25,20100,43.1,14.3,82.1,27.2,33.2,43,2,4,24/02/1999,5.11,12400,42.9,14.5,84,28.4,33.8,37,2,2
Rogger,2,Gamma,,41,14,10,1,28,-1,19/03/1997,5.81,5600,48.3,15.7,83.1,27,32.5,49,0,5,04/03/1998,5.64,6700,46.1,15.8,81.7,28,34.3,72,6,4,23/03/1999,5.75,7600,48,16.1,83.5,28,33.5,72,5,0
Ronald,2,Banana,Geoff,42.08,9,7,1,8.5,0.37,12/12/1996,4.8,12400,41.9,13.7,87.3,28.5,32.7,27,2,0,02/12/1997,5.62,6500,47.8,16.1,85.1,28.6,33.7,37,3,0,01/12/1998,5.44,23600,47.6,16,87.5,29.4,33.6,4,4,0
Rosemary,1,Foxy,Carmichael,26.25,10,3,2,3.5,0.67,19/08/1997,4.78,8800,37.5,12.6,78.5,26.4,33.6,53,1,3,20/08/1998,4.98,14300,39,13,78.3,26.1,33.3,37,0,0,17/11/1999,5.2,7600,41,13.1,78.8,25.2,32,65,0,5
Rowena,1,Ericka,Dobbs,14.08,2,2,3,9,0.73,14/08/1997,4.77,8300,37.4,1.6,78.4,26.4,33.7,36,0,4,15/09/1998,4.59,10200,37.3,12.4,81.3,27,33.2,27,0,1,29/09/1999,4.61,7400,37,12.1,80.3,26.2,32.7,71,5,2
