"","chimp","sex","ageDays","wbc","rbc","hct","hgb","mcv","mch","mchc","lymph","monos","eos","Glucose","BUN","Creatine","Protein","Albumn","Bilirubn","alkphos","sgpt","sgot","cholesterol","calcium","phosphate","sodium","potassium","chloride","globulin","triglycerides","ggtp","osmolal","BMI","BPs","BPd"
"43","Amanda",0,11.5917808219178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,9,0.5,7.6,4,0.3,254,26,13,203,9.8,2.6,136,3.3,97,3.6,111,19,267,NA,NA,NA
"44","Amanda",0,8.56164383561644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,9,0.9,7.1,3.7,0.2,477,39,19,176,9.3,2.8,135,3.8,98,3.4,88,22,268,NA,NA,NA
"45","Amos",1,15.2493150684931,8300,6.29,48.5,16.3,77.1,25.9,33.6,0.028,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Amos",1,16.3342465753425,13900,6.07,47.6,16.5,78.4,27.2,34.7,0.008,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Amos",1,17.2904109589041,17700,6.16,49.3,16.9,80,27.4,34.3,0.011,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Amos",1,19.3041095890411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,15,1.2,8.6,3.8,0.2,140,56,42,198,10,3.4,143,3.8,101,4.8,129,28,284,NA,NA,NA
"49","Amos",1,20.3013698630137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,13,0.9,8.2,3.6,0.2,201,51,41,208,9.9,3,143,3.9,98,4.6,149,19,283,NA,NA,NA
"50","Amos",1,21.2602739726027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,15,1.1,7.8,3.5,0.2,134,50,44,191,9.2,2.8,136,3.6,100,4.3,116,19,269,NA,NA,NA
"51","Amos",1,22.2082191780822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,16,0.9,8.3,3.9,0.2,97,54,39,219,10.4,4.1,142,4,99,4.4,106,29,282,NA,NA,NA
"52","Anja",0,23.2493150684931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,11,0.9,8.4,3.5,0.2,84,31,20,214,9.3,2.3,138,2.7,98,4.9,155,18,272,NA,NA,NA
"53","Anja",0,24.2876712328767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,14,0.9,8.9,3.4,0.1,97,40,17,199,9.3,4,140,3.4,97,5.5,177,22,277,NA,NA,NA
"54","Anja",0,21.2794520547945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,10,1.2,7.8,3.3,0.1,75,32,23,225,8.9,3.7,142,3.2,101,4.5,119,21,280,NA,NA,NA
"55","Anja",0,23.2356164383562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,13,1.2,8.2,3.2,0.2,92,33,20,206,9.3,4.5,140,4.2,100,5,180,224,277,NA,NA,NA
"56","Anja",0,17.186301369863,7600,5.05,40.9,13.6,81,26.9,33.3,0.025,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Anja",0,18.1835616438356,12100,5.44,45,15,82.7,27.6,33.3,0.055,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Anja",0,27.6575342465753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"141",67
"59","Anja",0,19.1479452054795,18700,5.13,42.3,13.4,82.5,26.1,31.7,0.043,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Anja",0,28.5643835616438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"149",90
"61","Anja",0,29.613698630137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"182",110
"62","Anna",0,42.9287671232877,8100,4.35,35.8,10.8,82.3,24.8,30.2,0.04,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Anna",0,43.041095890411,6600,4.45,35.7,11.1,80.2,24.9,31.1,0.045,0,7,112,22,0.8,8,2.8,0.3,57,29,24,192,8.9,3.8,142,3.2,98,5.2,149,NA,NA,NA,NA,NA
"64","Anna",0,43.9452054794521,7500,4.95,40.7,13,82.2,26.3,31.9,0.041,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Anna",0,43.9479452054794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,11,1,8.6,3.5,0.1,119,30,33,185,8.1,2.3,144,2.9,101,5.1,309,29,283,NA,NA,NA
"66","Anna",0,45.041095890411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,14,1.2,8.1,3.4,0.1,191,68,43,182,9.3,1.9,145,2.9,98,4.7,200,73,288,NA,NA,NA
"67","Anna",0,45.3506849315068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,78,2.6,6.9,2,4.5,242,140,177,225,6.7,10.9,145,3.3,93,4.9,145,469,311,NA,NA,NA
"68","Artemus",1,6.46575342465753,19400,5.51,44.9,14.9,81.5,27,33.2,0.014,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Artemus",1,8.52054794520548,13100,5.47,45.9,15.4,83.9,28.2,33.6,0.015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Artemus",1,10.6027397260274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,9,1.2,7.5,4.4,0.4,215,23,15,206,9.5,3.3,142,3.5,103,3.1,150,38,280,NA,NA,NA
"71","Artemus",1,11.8301369863014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,11,1,7.4,3.9,0.2,169,24,18,206,9.9,2.2,147,4,113,3.5,96,26,290,NA,NA,NA
"72","Artemus",1,7.5013698630137,14000,5.52,45.9,15.4,83.2,27.9,33.6,0.006,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Artemus",1,19.1178082191781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122",62
"74","Artemus",1,12.4904109589041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,12,1.4,7.3,3.8,0.3,115,21,14,217,9.6,3.7,139,4.1,100,3.5,131,28,275,NA,NA,NA
"75","Artemus",1,13.4246575342466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,9,1,6.9,3.8,0.3,104,27,14,216,10.6,4.7,143,4.4,104,3.1,461,33,281,NA,NA,NA
"77","Artemus",1,19.6191780821918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.38,"143",65
"79","Artemus",1,18.1424657534247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"138",61
"80","Arthur",1,7.51780821917808,14300,5.29,41.7,14.3,78.8,27,34.3,0.02,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Arthur",1,13.5232876712329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,11,1.2,7.2,4.1,0.3,139,46,41,191,10,3.3,144,3.7,103,3.1,88,24,287,NA,NA,NA
"82","Arthur",1,9.43835616438356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,11,1.3,7.2,4.4,0.3,350,26,30,177,10.7,2.2,18,3.7,100,2.8,81,23,274,NA,NA,NA
"83","Arthur",1,11.6575342465753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,10,1.3,7.4,4.3,0.3,129,32,27,182,9.8,2.4,134,3.5,96,3.1,75,14,267,NA,NA,NA
