"","chimp","sex","ageDays","wbc","rbc","hct","hgb","mcv","mch","mchc","lymph","monos","eos","Glucose","BUN","Creatine","Protein","Albumn","Bilirubn","alkphos","sgpt","sgot","cholesterol","calcium","phosphate","sodium","potassium","chloride","globulin","triglycerides","ggtp","osmolal","BMI","BPs","BPd"
"767","Justin",NA,22.3232876712329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"133",94
"768","Justin",NA,18.0246575342466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,11,1,7.4,3.7,0.2,72,29,58,243,9.7,2.4,141,3.5,99,3.7,108,24,278,NA,NA,NA
"769","Justin",NA,17.1068493150685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,12,1.3,7.9,4.1,0.3,96,40,39,262,9.5,2.3,137,3.1,103,3.8,97,20,271,NA,NA,NA
"770","Justin",NA,15.9780821917808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,15,1.2,7.8,3.6,0.2,105,25,17,234,8.7,2.6,137,3.9,98,4.2,55,24,275,NA,NA,NA
"771","Kasey",0,10.9178082191781,8100,5,42.6,14,85.2,28,32.9,0.025,4,1,78,12,0.9,7.8,3.6,0.3,168,28,13,201,9.9,3.3,137,3.8,98,4.2,41,NA,NA,NA,NA,NA
"772","Kasey",0,11.9260273972603,12000,4.84,40.9,13.4,84.5,27.7,32.8,0.021,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"773","Kasey",0,11.9287671232877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,18,1,7.8,3.3,0.2,120,26,14,190,9.1,3.9,132,3.7,101,4.5,57,32,263,NA,NA,NA
"774","Kasey",0,8.93698630136986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,14,0.8,7,3.5,0.4,170,38,18,163,9.4,3.1,138,3.6,98,3.5,61,NA,NA,NA,NA,NA
"775","Kasey",0,13.4849315068493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,9,0.9,8.1,3.6,0.1,82,24,14,163,8.9,2.2,133,3.5,102,4.5,76,42,263,NA,NA,NA
"776","Kasey",0,13.558904109589,10500,4.58,38.9,12.6,84.9,27.5,32.4,0.033,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"777","Katrina",1,23.8328767123288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113",64
"778","Katrina",1,16.5753424657534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,10,0.7,7.4,3.8,0.3,91,33,15,147,9.5,5.5,138,3.9,100,3.6,86,37,273,NA,NA,NA
"779","Katrina",1,22.2164383561644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114",68
"780","Katrina",1,23.3123287671233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.41,"134",80
"781","Katrina",1,10,8200,4.72,39.2,13.2,83.1,28,33.7,0.038,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"783","Katrina",1,12.0164383561644,5700,4.57,38.2,12.7,83.6,27.8,33.2,0.052,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"784","Katrina",1,14.027397260274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,13,1.1,7.5,4.1,0.1,138,33,43,204,9.6,2.8,138,3.7,104,3.4,74,38,276,NA,NA,NA
"785","Katrina",1,15.3917808219178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,10,0.8,7.2,3.8,0.2,108,32,19,181,8.9,2.5,140,3.1,104,3.4,92,28,277,NA,NA,NA
"786","Katrina",1,11,6700,4.61,38.8,13,84.2,28.2,33.5,0.058,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"787","Katrina",1,16.0082191780822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,12,0.9,7.1,3.7,0.2,89,26,19,174,8.9,2.6,139,4.1,105,3.4,54,33,276,NA,NA,NA
"790","Kengee",0,10.4684931506849,13200,5.31,43.1,14.5,81.2,27.3,33.6,0.026,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"791","Kengee",0,22.1643835616438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"139",83
"792","Kengee",0,22.3013698630137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"145",57
"793","Kengee",0,9.45479452054795,15100,5.37,42.3,14,78.8,26.1,33.1,0.037,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794","Kengee",0,15.4383561643836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,6,1,7.4,3.8,0.1,137,36,14,192,9.2,2.8,139,4.4,103,3.6,152,17,274,NA,NA,NA
"795","Kengee",0,11.5616438356164,10400,4.9,39.5,13.1,80.6,26.7,33.2,0.038,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"796","Kengee",0,12.5260273972603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,10,1.3,7.2,3.6,0.1,150,28,17,202,9.1,2.7,135,3.5,100,3.6,155,24,267,NA,NA,NA
"797","Kengee",0,14.6712328767123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,12,1.2,7.4,3.6,0.2,130,26,17,158,9.7,2.5,142,3.9,105,3.8,152,18,281,NA,NA,NA
"798","Kengee",0,21.1150684931507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"190",82
"799","Kerri",0,2.00821917808219,25800,5.12,38.5,12.4,75.2,24.2,32.2,0.04,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800","Kerri",0,3.12602739726027,10400,4.78,37.6,12.4,78.7,25.9,33,0.059,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"802","Kerri",0,4.12054794520548,12700,5.02,40,12.8,79.7,25.5,32,0.04,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"803","Kerri",0,6.13698630136986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,18,0.8,7.3,3.6,0.2,740,47,15,181,10.1,4.1,137,3.7,100,3.7,106,21,273,NA,NA,NA
"805","Kerri",0,8.18630136986301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,16,0.6,7.1,3.5,0.2,523,31,15,154,9.2,3.7,141,3.8,101,3.6,147,15,280,NA,NA,NA
"806","Kerri",0,9.14520547945206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,19,0.7,7.6,3.8,0.1,386,39,19,182,10.6,2.9,144,3.9,103,3.8,91,17,286,NA,NA,NA
"807","Kerri",0,14.1315068493151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97",50
"808","Kerri",0,7.23287671232877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,18,0.7,8.2,3.9,0.1,561,37,17,184,10.5,3.4,157,4.2,109,4.3,104,21,312,NA,NA,NA
"809","Kerri",0,15.6657534246575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"110",49
"810","Kerri",0,15.3452054794521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.27,"88",42
"811","Kevin",0,7.46575342465753,11800,5.31,41.8,14.4,78.7,27.1,34.4,0.013,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"812","Kevin",0,8.4958904109589,15600,5.65,45.8,15.4,81.1,27.3,33.6,0.013,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"813","Kevin",0,10.5260273972603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,15,1.1,7.2,3.7,0.2,185,40,27,207,9.1,3.2,139,3.7,98,3.5,108,20,277,NA,NA,NA
"814","Kevin",0,6.48493150684931,12400,5.22,40.8,13.6,78.2,26.1,33.3,0.03,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815","Kevin",0,11.7561643835616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,13,0.8,7.9,3.7,0.2,136,37,21,216,9.4,3.4,143,3.5,99,4.2,133,25,285,NA,NA,NA
"816","Kevin",0,12.7780821917808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,13,1.1,8.4,4,0.3,111,65,92,237,9.6,3.8,143,3.4,108,4.4,75,18,282,NA,NA,NA
"817","Kevin",0,13.6575342465753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,14,0.9,7.3,3.7,0.2,82,56,47,237,9.9,3.1,143,3.5,98,3.6,101,22,283,NA,NA,NA
"818","Kipper",0,16.8904109589041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,13,1,7.1,3.4,0.4,80,35,17,194,10,4.8,138,3.7,98,3.7,150,NA,NA,NA,NA,NA
"819","Kipper",0,18,13400,6.35,48.8,16.1,76.9,25.4,33,0.007,3,0,101,14,0.8,7.5,3.6,0.5,97,45,26,185,9.7,2.5,138,3.7,100,3.9,152,NA,NA,NA,NA,NA
"820","Kipper",0,19.0219178082192,10500,6.27,49.3,16.1,78.6,25.7,32.7,0.019,3,0,112,12,1.2,7.2,3.4,0.3,77,43,22,150,9,2.6,138,3.2,95,3.8,212,32,273,NA,NA,NA
"821","Kipper",0,19.9945205479452,17000,6.91,52.4,16.8,75.8,24.3,32.1,0.03,1,1,109,10,1.4,6.4,3.3,0.1,67,110,26,196,8.6,2.8,139,3.6,98,3.1,185,87,275,NA,NA,NA
"822","Lamar",1,9.54794520547945,7800,5.18,42.3,14.3,81.7,27.6,33.8,0.045,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"823","Lamar",1,10.6082191780822,12100,5.28,46.1,15.8,87.3,29.9,34.3,0.029,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"824","Lamar",1,12.5452054794521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,11,1.2,6.9,3.9,0.2,103,31,24,227,8.7,2,140,3.5,99,3,56,37,278,NA,NA,NA
"825","Lamar",1,13.7150684931507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,10,1.4,7.1,3.6,0.1,99,42,37,197,9.7,2.1,145,3.3,101,3.5,69,36,286,NA,NA,NA
"826","Lamar",1,14.7041095890411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,11,1.2,6.7,3.5,0.2,106,29,21,220,8.6,2.1,141,3.2,101,3.2,51,22,278,NA,NA,NA
"827","Lamar",1,22.8219178082192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122",61
"828","Lamar",1,15.6328767123288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,9,1.1,7.7,3.7,0.2,149,30,23,207,8.3,2.6,147,4,104,4,69,22,289,NA,NA,NA
"829","Lamar",1,20.4054794520548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121",58
"830","Lamar",1,21.6493150684932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102",44
"831","Lamar",1,8.58904109589041,10500,5.26,46.1,15.1,87.6,28.7,32.8,0.026,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"832","Lee",1,17.9616438356164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,7,1,6.9,3.1,0.1,57,32,17,174,8.7,2.2,138,3.9,102,3.8,93,16,271,NA,NA,NA
"833","Lee",1,19.0630136986301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,11,0.9,7.4,3.3,0.1,115,83,66,294,9.4,1.9,144,2.5,96,4.1,145,9,283,NA,NA,NA
"834","Lee",1,14.9397260273973,9300,5.64,46.2,15.7,81.9,27.8,34,0.057,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"835","Lee",1,17.1616438356164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,9,1,7.3,3.3,0.2,82,40,26,168,9,2.4,142,3.7,105,4,95,20,280,NA,NA,NA
"836","Lee",1,12.9753424657534,13000,5.02,42.4,13.9,84.5,27.7,32.8,0.045,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"837","Lee",1,13.8986301369863,13100,5.35,44.5,14.6,83.2,27.3,32.8,0.049,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"838","Lee",1,16.0493150684932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,7,0.9,7.5,3.3,0.1,73,48,22,202,9.6,3.3,135,3.3,99,4.2,75,21,266,NA,NA,NA
"839","Lena",1,21.0520547945205,19700,4.29,38.4,13,89.5,30.3,33.9,0.031,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"840","Lena",1,22.0575342465753,34000,4.48,38.8,13,86.6,29,33.5,0.014,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"841","Lena",1,27.158904109589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,9,0.4,7.1,3.3,0.1,60,29,41,154,8.5,2,140,3.3,119,3.8,46,21,275,NA,NA,NA
"842","Lena",1,23.0630136986301,17800,4.41,38.6,12.6,87.5,28.6,32.6,0.026,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"843","Lena",1,25.1123287671233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,11,0.9,7.4,3.2,0.2,62,31,33,147,9.1,2.8,140,3.4,100,4.2,73,32,276,NA,NA,NA
"844","Lena",1,32.1095890410959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87",48
"845","Lena",1,31.3013698630137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96",65
"846","Lena",1,28.0849315068493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,8,0.6,6.7,3.3,0.2,73,23,23,151,8.6,3.7,140,3.1,95,3.4,42,21,274,NA,NA,NA
"847","Lena",1,30.0356164383562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76",35
"848","Lena",1,26.0383561643836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,9,0.7,7.5,3.3,0.2,7,31,37,161,8.9,1.7,146,3,102,4.2,71,21,285,NA,NA,NA
"849","Les",0,23.158904109589,5100,4.73,36.8,12.4,77.8,26.2,33.7,0.037,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"850","Les",0,24.2356164383562,8500,4.75,38.1,12.5,80.2,26.3,32.8,0.051,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"851","Les",0,25.2712328767123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,13,1.2,6.6,3.5,0.2,113,32,20,226,8,2.2,143,3.2,102,3.1,102,17,284,NA,NA,NA
"852","Les",0,26.2821917808219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,11,1.1,7.3,3.4,0.2,140,40,24,242,8.4,3.4,142,3.4,96,3.9,118,39,279,NA,NA,NA
"853","Les",0,27.4301369863014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,16,1.2,6.6,3.2,0.1,133,30,17,204,8.5,1.9,143,3.1,105,3.4,60,14,282,NA,NA,NA
"854","Les",0,22.2356164383562,6500,5.21,41.9,14.3,80.4,27.4,34.1,0.044,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"855","Les",0,28.2794520547945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,6,1.2,6.3,3,0.1,98,30,17,187,8.1,2.2,143,3.2,105,3.3,103,11,283,NA,NA,NA
"856","Leslie",0,41.213698630137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.17,"211",115
"858","Leslie",0,38.4082191780822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200",100
"859","Leslie",0,40.1342465753425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"144",90
"860","Leslie",0,27.1917808219178,11000,5.68,44.9,14.1,79,25.9,32.7,0.037,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"861","Leslie",0,28.186301369863,6300,5.27,41.2,13.5,78.2,25.6,32.8,0.064,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"863","Leslie",0,30.2986301369863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,8,1.1,7.8,3.6,0.1,78,32,19,147,8.9,2,135,3.3,101,4.2,114,42,266,NA,NA,NA
"864","Leslie",0,31.241095890411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,9,1,7.7,3.5,0.1,72,27,11,159,9.2,2.3,137,3.4,101,4.2,66,26,271,NA,NA,NA
"865","Leslie",0,32.2575342465753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,8,0.9,8.2,3.7,0.2,88,28,25,148,9.3,3.7,143,3.3,102,4.5,189,28,281,NA,NA,NA
"866","Leslie",0,29.2438356164384,5100,5.05,40.6,13,80.4,25.7,32,0.043,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"867","Leslie",0,33.1506849315069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,10,1.2,8.3,3.6,0.2,109,24,15,132,9.2,3.4,137,3,105,4.7,123,27,270,NA,NA,NA
"868","Lil'One",1,42.3397260273973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.47,"124",86
"870","Lil'One",1,30.2383561643836,9100,5.37,42.4,14,79,26.1,33,0.018,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"871","Lil'One",1,41.2164383561644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.33,"125",83
"872","Lil'One",1,28.2493150684931,12600,5.29,41.9,13.7,79.2,25.9,32.7,0.037,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"873","Lil'One",1,29.227397260274,7800,5.29,42.3,13.7,80,25.9,32.4,0.032,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"874","Lil'One",1,34.2082191780822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,5,0.6,7.3,3.6,0.2,156,29,19,192,8.8,3.7,143,2.9,103,3.7,71,18,279,NA,NA,NA
"875","Lil'One",1,31.2767123287671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,8,0.8,7.7,3.4,0.1,86,15,18,205,8.3,2.9,139,3,102,4.3,92,15,272,NA,NA,NA
"876","Lil'One",1,32.8876712328767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,6,0.8,7.2,3.5,0.2,155,21,32,181,8.5,2.2,144,2.5,95,3.7,111,30,280,NA,NA,NA
"877","Lil'One",1,33.3698630136986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,9,0.7,7,3.7,0.3,173,23,22,187,8.9,1.9,143,2.9,98,3.3,85,23,281,NA,NA,NA
"878","Lil'One",1,39.4657534246575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"152",102
"879","Lindsey",0,1.9013698630137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,9,0.6,6.7,3.4,0.4,391,39,12,230,9.3,5.6,138,4.6,104,3.3,93,NA,NA,NA,NA,NA
"880","Lindsey",0,2.88219178082192,7100,4.42,36.2,11.9,81.9,26.9,32.9,0.05,2,4,97,17,0.7,6.7,3.2,0.3,404,31,13,215,9,6.2,136,4.8,104,3.5,90,NA,NA,NA,NA,NA
"881","Lindsey",0,5.12876712328767,8400,4.66,37.8,12.2,81.1,26.2,32.3,0.06,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"882","Lindsey",0,3.92054794520548,10200,4.43,36.6,12.1,82.6,27.3,33.1,0.028,0,1,99,16,0.9,7.6,3.9,0.3,471,41,18,212,9.6,5.3,139,3.9,104,3.7,71,43,277,NA,NA,NA
"883","Lindsey",0,5.1013698630137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,32,1.1,6.8,3.6,0.1,464,42,28,168,9.9,5.1,139,4.2,101,3.2,73,35,283,NA,NA,NA
"884","Liza",1,15.1369863013699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122",146
"885","Liza",1,17.2657534246575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.86,"135",61
"886","Liza",1,16.3315068493151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.63,"117",60
"888","Lizzie",0,8.73698630136986,6100,4.71,38.5,12.7,81.7,27,33,0.038,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"889","Lizzie",0,7.72054794520548,9000,4.7,37.6,12.4,80,26.4,33,0.027,0,2,86,14,0.5,6.8,3.5,0.3,478,19,8,217,9,4.2,135,3.7,101,3.3,42,NA,NA,NA,NA,NA
"890","Lizzie",0,6.66301369863014,9000,4.36,34.7,11.1,79.6,25.5,32,0.045,0,8,83,17,0.7,7.2,3.2,0.4,396,21,7,211,9.5,5.9,135,4.5,100,4,49,NA,NA,NA,NA,NA
"891","Lizzie",0,9.49041095890411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,11,1,7.2,3.7,0.1,379,52,12,202,9.4,4.9,138,3.2,102,3.5,49,53,274,NA,NA,NA
"892","Lizzie",0,5.67671232876712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,15,0.7,6.7,3.6,0.3,422,27,7,249,9.2,5.4,138,4,103,3.1,44,NA,NA,NA,NA,NA
"893","Lolita",0,37.2356164383562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,16,1,7.8,3.5,0.4,86,35,46,310,9.5,2.8,142,2.3,87,4.3,57,NA,NA,NA,NA,NA
"894","Lolita",0,38.213698630137,10600,4.31,36.3,11.9,84.2,27.6,32.8,0.042,3,1,106,13,0.9,7.6,3.1,0.4,58,25,26,283,9.3,1,140,2.3,92,4.5,76,NA,NA,NA,NA,NA
"895","Lolita",0,39.3342465753425,10600,4.95,42.1,14.2,85.1,28.7,33.7,0.054,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"896","Lolita",0,39.3369863013699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,18,1.1,8.3,3.6,0.2,78,36,31,286,8.8,31,141,2.3,89,4.7,70,30,278,NA,NA,NA
"897","Lolita",0,40.9205479452055,8900,4.85,40.8,13.5,84.1,27.8,33.1,0.047,5,4,107,12,0.9,7.8,3.8,0.1,147,25,16,233,9,1.5,137,2.6,96,4,138,16,270,NA,NA,NA
