chimp,sex,DoB,status,lastDate,,,,,,,,,,,,,Abby
,,,,,,,,,,,,,,,,,Suwanee
Brent,C0415,20/01/1976,Death,3/10/2014,16/05/2006,Removal to Chimp Haven,,,died 3/10/2014,,,,,,,,Suzanna
Amanda,C0684,15/06/1991,Alive,22/03/2016,unknown,Removal to Chattanooga Zoo,,,living,22/03/2016,,,,,,,Sylvia
Brandy,C0592,26/04/1985,Alive,22/03/2016,unknown,Removal to Chattanooga Zoo,,,living,22/03/2016,,,,,,,Tai
Artemus,C0599,18/12/1990,Alive,22/03/2016,unknown,Removal to Chattanooga Zoo,,,living,22/03/2016,,,,,,,Tank
,,,,,,,,,,,,,,,,,Tara
,,,,,,,,,,,,,,,,,Travis
Joseph,C0475,25/11/1980,Alive,22/03/2016,unknown,Removal to Chimp Haven,,,living,,,,,,,,Vivienne
,,,,,,,,,,,,,,,,,Waga
Katrina,C0604,26/07/1987,Alive,22/03/2016,unknown,Removal to Chattanooga Zoo,,,living,,,,,,,,Walnut
,,,,,,,,,,,,,,,,,Wenka
,,,,,,,,,,,,,,,,,Wilma
Ranette,C0610,17/12/1987,Alive,22/03/2016,unknown,Removal to Chattanooga Zoo,,,living,,,,,,,,Wilson
,,,,,,,,,,,,,,,,,Winston
,,,,,,,,,,,,,,,,,Woodruff
Scott,C0545,23/06/1987,Alive,22/03/2016,unknown,Removal to Chattanooga Zoo,,,living,,,,,,,,Zana
Shirley,C0588,11/1/1985,Alive,22/03/2016,unknown,Removal to Chattanooga Zoo,,,living,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Lindsey,C0710,10/2/1994,Alive,22/03/2016,,,,,,,,,,,,,
Debbie,C0638,11/2/1989,Alive,22/03/2016,,,,,,,,,,,,,
Janice,C0654,1/1/1990,Death,2/9/2013,,,,,,,,,,,,,
Josh,C0597,27/08/1990,Death,18/12/2012,,,,,,,,,,,,,
