Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList,NumLists,CorrectionProcedure,ex1,ex2,ex3,ListType,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Label,Ports Used,,,,,,,,,,,,,,,
Lashley,2011.01.20,42,21,A,A,-,1,bl,1.066667,189.0167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,4,4,sc.0210,Chamber 4,40,4,2,-,4,10,14,13,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,43,21,C,B,AC,0,0,1.016667,190.0333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,14,10,sc.0213,Chamber 4,40,4,2,-,4,10,14,13,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,44,22,A,A,-,1,bl,1.033333,197.75,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,4,4,sc.0210,Chamber 4,40,4,2,-,4,2,13,9,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,45,22,B,B,-,1,bl,0.7833333,198.5333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,2,2,sc.0213,Chamber 4,40,4,2,-,4,2,13,9,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,46,22,C,C,-,1,bl,0.8666667,199.4,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,13,13,sc.0214,Chamber 4,40,4,2,-,4,2,13,9,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,47,22,D,D,ABCD,1,1,0.6333333,200.0333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,9,9,sc.0216,Chamber 4,40,4,2,-,4,2,13,9,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,48,23,B,A,B,0,0,0.7,204.6833,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,6,14,sc.0210,Chamber 4,40,4,2,-,14,6,7,13,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,49,24,A,A,-,1,bl,1.633333,214.0333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,15,15,sc.0210,Chamber 4,40,4,2,-,15,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,50,24,B,B,-,1,bl,0.7666667,214.8,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,13,13,sc.0213,Chamber 4,40,4,2,-,15,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,51,24,C,C,-,1,bl,0.45,215.25,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,5,5,sc.0214,Chamber 4,40,4,2,-,15,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,52,24,D,D,ABCD,1,1,0.3666667,215.6167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,1,1,sc.0216,Chamber 4,40,4,2,-,15,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,53,25,A,A,-,1,bl,1.466667,220.9833,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,7,7,sc.0210,Chamber 4,40,4,2,-,7,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,54,25,B,B,-,1,bl,0.5833333,221.5667,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,1,1,sc.0213,Chamber 4,40,4,2,-,7,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,55,25,C,C,-,1,bl,0.7833333,222.35,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,2,2,sc.0214,Chamber 4,40,4,2,-,7,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,56,25,D,D,ABCD,1,1,0.3333333,222.6833,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,6,6,sc.0216,Chamber 4,40,4,2,-,7,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,57,26,A,A,-,1,bl,1.5,227.9667,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,13,13,sc.0210,Chamber 4,40,4,2,-,13,1,5,12,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,58,26,C,B,AC,0,0,0.4666667,228.4333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,5,1,sc.0213,Chamber 4,40,4,2,-,13,1,5,12,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,59,27,A,A,-,1,bl,1.5,236.7167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,8,8,sc.0210,Chamber 4,40,4,2,-,8,5,10,12,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,60,27,B,B,-,1,bl,1.266667,237.9833,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,5,5,sc.0213,Chamber 4,40,4,2,-,8,5,10,12,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,61,27,C,C,-,1,bl,0.3666667,238.35,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,10,10,sc.0214,Chamber 4,40,4,2,-,8,5,10,12,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,62,27,D,D,ABCD,1,1,0.4166667,238.7667,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,12,12,sc.0216,Chamber 4,40,4,2,-,8,5,10,12,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,63,28,A,A,-,1,bl,0.9833333,243.5667,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,1,1,sc.0210,Chamber 4,40,4,2,-,1,12,15,7,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,64,28,B,B,-,1,bl,1.633333,245.2,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,12,12,sc.0213,Chamber 4,40,4,2,-,1,12,15,7,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,65,28,C,C,-,1,bl,0.45,245.65,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,15,15,sc.0214,Chamber 4,40,4,2,-,1,12,15,7,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,66,28,D,D,ABCD,1,1,0.3666667,246.0167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,7,7,sc.0216,Chamber 4,40,4,2,-,1,12,15,7,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,67,29,A,A,-,1,bl,0.9833333,250.7667,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,2,2,sc.0210,Chamber 4,40,4,2,-,2,12,6,3,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,68,29,B,B,-,1,bl,1.033333,251.8,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,12,12,sc.0213,Chamber 4,40,4,2,-,2,12,6,3,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,69,29,C,C,-,1,bl,0.3833333,252.1833,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,6,6,sc.0214,Chamber 4,40,4,2,-,2,12,6,3,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,70,29,D,D,ABCD,1,1,0.3333333,252.5167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,3,3,sc.0216,Chamber 4,40,4,2,-,2,12,6,3,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,71,30,A,A,-,1,bl,1.083333,257.35,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,3,3,sc.0210,Chamber 4,40,4,2,-,3,8,9,15,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,72,30,B,B,-,1,bl,0.65,258,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,8,8,sc.0213,Chamber 4,40,4,2,-,3,8,9,15,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,73,30,C,C,-,1,bl,0.4833333,258.4833,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,9,9,sc.0214,Chamber 4,40,4,2,-,3,8,9,15,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,74,30,D,D,ABCD,1,1,0.4166667,258.9,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,15,15,sc.0216,Chamber 4,40,4,2,-,3,8,9,15,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,75,31,A,A,-,1,bl,2.033333,264.8167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,13,13,sc.0210,Chamber 4,40,4,2,-,13,9,11,6,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,76,31,B,B,-,1,bl,0.3833333,265.2,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,9,9,sc.0213,Chamber 4,40,4,2,-,13,9,11,6,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,77,31,C,C,-,1,bl,0.3166667,265.5167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,11,11,sc.0214,Chamber 4,40,4,2,-,13,9,11,6,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,78,31,D,D,ABCD,1,1,0.3833333,265.9,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,6,6,sc.0216,Chamber 4,40,4,2,-,13,9,11,6,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,79,32,B,A,B,0,0,1.483333,271.15,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,15,10,sc.0210,Chamber 4,40,4,2,-,10,15,12,6,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,80,33,A,A,-,1,bl,3.15,281.7667,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,15,15,sc.0210,Chamber 4,40,4,2,-,15,9,14,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,81,33,B,B,-,1,bl,1.15,282.9167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,9,9,sc.0213,Chamber 4,40,4,2,-,15,9,14,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,82,33,C,C,-,1,bl,0.3166667,283.2333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,14,14,sc.0214,Chamber 4,40,4,2,-,15,9,14,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,83,33,D,D,ABCD,1,1,0.8,284.0333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,2,2,sc.0216,Chamber 4,40,4,2,-,15,9,14,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,84,34,A,A,-,1,bl,0.7333333,289,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,11,11,sc.0210,Chamber 4,40,4,2,-,11,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,85,34,B,B,-,1,bl,1.016667,290.0167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,1,1,sc.0213,Chamber 4,40,4,2,-,11,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
