Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList,NumLists,CorrectionProcedure,ex1,ex2,ex3,ListType,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Label,Ports Used,,,,,,,,,,,,,,,
Coltrane,2011.01.20,34,20,A,A,-,1,bl,2.966667,1676.35,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,1,1,sc.3474,Chamber 1,40,4,2,-,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,35,20,B,B,-,1,bl,1.433333,1677.783,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,2,2,sc.3475,Chamber 1,40,4,2,-,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,36,20,C,C,-,1,bl,1.016667,1678.8,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,3,3,sc.3476,Chamber 1,40,4,2,-,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,37,20,D,D,ABCD,1,1,1.1,1679.9,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,0,0,sc.3477,Chamber 1,40,4,2,-,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,38,21,C,A,C,0,0,8.3,1692.117,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,9,3,sc.3474,Chamber 1,40,4,2,-,3,5,9,15,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,39,22,A,A,-,1,bl,1.883333,1705.967,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,13,13,sc.3474,Chamber 1,40,4,2,-,13,12,7,15,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,40,22,B,B,-,1,bl,1.083333,1707.05,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,12,12,sc.3475,Chamber 1,40,4,2,-,13,12,7,15,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,41,22,C,C,-,1,bl,1.45,1708.5,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,7,7,sc.3476,Chamber 1,40,4,2,-,13,12,7,15,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,42,22,D,D,ABCD,1,1,0.5666667,1709.067,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,15,15,sc.3477,Chamber 1,40,4,2,-,13,12,7,15,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,43,23,B,A,B,0,0,3.633333,1742.667,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,7,4,sc.3474,Chamber 1,40,4,2,-,4,7,8,3,0,0,0,0,0,0,0,0,0,0,0,0
