Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList,NumLists,CorrectionProcedure,ex1,ex2,ex3,ListType,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Label,Ports Used,,,,,,,,,,,,,,,
Augustus,2011.03.09,38,28,B,A,B,0,0,1.216667,242.9667,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,4,9,sc.1154,Chamber 2,40,4,2,-,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,39,29,A,A,-,1,bl,1.75,251.7833,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,12,12,sc.1154,Chamber 2,40,4,2,-,12,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,40,29,B,B,-,1,bl,0.9166667,252.7,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,10,10,sc.1155,Chamber 2,40,4,2,-,12,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,41,29,C,C,-,1,bl,0.9,253.6,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,3,3,sc.1157,Chamber 2,40,4,2,-,12,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,42,29,D,D,ABCD,1,1,0.5166667,254.1167,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,2,2,sc.1159,Chamber 2,40,4,2,-,12,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,43,30,B,A,B,0,0,2.216667,260.45,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,3,9,sc.1154,Chamber 2,40,4,2,-,9,3,14,1,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,44,31,B,A,B,0,0,1.483333,268.4167,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,14,5,sc.1154,Chamber 2,40,4,2,-,5,14,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,45,32,B,A,B,0,0,1.216667,276.3167,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,10,14,sc.1154,Chamber 2,40,4,2,-,14,10,5,9,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,46,33,D,A,D,0,0,1.716667,285.1,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,12,1,sc.1154,Chamber 2,40,4,2,-,1,5,14,12,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,47,34,A,A,-,1,bl,1.633333,293.8,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,10,10,sc.1154,Chamber 2,40,4,2,-,10,15,6,5,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,48,34,B,B,-,1,bl,0.75,294.55,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,15,15,sc.1155,Chamber 2,40,4,2,-,10,15,6,5,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,49,34,C,C,-,1,bl,1.116667,295.6667,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,6,6,sc.1157,Chamber 2,40,4,2,-,10,15,6,5,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,50,34,D,D,ABCD,1,1,0.45,296.1167,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,5,5,sc.1159,Chamber 2,40,4,2,-,10,15,6,5,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,51,35,A,A,-,1,bl,2.466667,302.5,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,14,14,sc.1154,Chamber 2,40,4,2,-,14,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,52,35,B,B,-,1,bl,0.6166667,303.1167,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,8,8,sc.1155,Chamber 2,40,4,2,-,14,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0
