"","DG1","DG2","PRF_dominance","prestige10","dominance10","leadership10","soc_reg","power","prestige6","dominance6","leadership6","prestige4","dominance4","leadership4","gender","age"
"234",150,0,47,42,27,24,49,29,24,16,13,16,11,9,"male","29"
"235",0,0,71,38,29,49,44,43,22,18,30,14,10,20,"male","69"
"236",150,150,47,48,25,27,65,25,31,17,17,19,11,11,"female","24"
"237",100,100,63,40,48,42,60,36,27,28,25,17,18,20,"male","25"
"238",150,0,29,43,26,20,66,21,27,15,10,18,12,8,"male","24"
"239",150,150,77,41,57,50,46,47,24,33,28,16,22,17,"female","48"
"240",150,200,46,42,29,36,47,32,22,17,22,15,8,13,"female","31"
"241",150,0,49,33,18,27,48,26,20,12,18,13,6,11,"male","28"
"242",50,20,49,39,31,26,55,33,22,19,15,14,10,11,"male","20"
"243",120,120,52,45,34,23,63,31,28,21,14,19,14,10,"male","25"
"245",0,0,63,49,47,41,57,46,30,30,24,20,20,17,"female","26"
"246",120,100,70,44,45,40,43,34,27,29,27,17,19,16,"female","31"
"250",100,0,44,33,27,23,43,22,18,17,13,12,10,10,"male","18"
"251",70,70,57,57,54,45,55,53,36,35,26,24,23,19,"male","30"
"252",300,0,44,43,33,17,51,29,27,20,10,19,12,8,"male","19"
"253",100,150,65,40,39,36,45,35,26,22,23,18,12,17,"male","40"
"254",0,0,67,48,32,45,56,40,28,21,28,19,14,19,"male","22"
"255",200,0,49,34,27,29,43,25,20,18,17,13,12,11,"female","19"
"256",100,100,47,36,22,29,52,23,21,14,19,12,9,13,"female","43"
"257",0,0,46,37,22,24,55,21,22,12,14,14,7,9,"male","28"
"258",100,100,41,47,22,32,56,29,24,15,19,15,10,14,"male","21"
"260",150,300,58,41,27,37,47,36,24,15,23,16,10,16,"male","29"
"261",150,0,58,40,31,38,47,32,22,16,23,16,8,16,"male","23"
"262",150,150,57,27,17,34,42,25,16,9,24,8,5,16,"male","39"
"266",30,30,66,48,41,44,60,44,27,25,26,18,16,18,"male","32"
"267",160,0,72,52,37,48,56,45,31,24,27,19,15,15,"male","25"
"269",130,10,57,36,22,37,43,31,22,14,23,15,9,15,"male","56"
"271",100,50,40,21,28,21,34,20,10,17,10,4,10,5,"male","40"
"272",0,0,68,30,21,42,31,23,18,10,24,10,6,15,"female","47"
"273",150,150,53,44,32,25,37,31,26,23,13,19,11,7,"female","32"
"276",150,150,62,42,28,42,40,33,23,18,26,14,11,17,"female","41"
"277",0,0,55,42,27,37,45,29,24,14,22,13,7,17,"male","31"
"279",150,0,45,35,29,30,53,24,22,18,18,14,13,12,"female","26"
"280",0,0,33,47,16,24,44,21,28,8,13,18,5,8,"female","32"
"281",100,100,66,41,29,57,31,45,25,19,35,15,10,24,"female","65"
"282",150,0,64,36,22,33,34,29,20,14,21,13,7,13,"female","58"
"284",150,300,57,45,32,37,49,39,28,20,22,18,11,15,"male","19"
"286",50,0,64,51,35,52,55,45,28,20,32,20,13,21,"male","20"
"287",50,50,68,40,42,45,50,36,25,24,27,16,14,17,"female","40"
"288",100,0,67,41,32,54,58,36,25,22,33,17,12,22,"female","29"
"289",120,200,63,46,35,37,53,42,29,18,22,17,13,16,"female","21"
"290",50,0,59,43,40,36,53,43,26,26,19,18,16,15,"male","23"
"291",0,0,66,36,14,43,31,31,19,6,26,10,4,18,"female","31"
"293",150,300,51,30,17,28,39,18,19,9,18,12,7,13,"male","22"
"294",100,0,54,44,40,45,56,48,25,23,29,17,16,20,"female","29"
"295",150,0,20,41,16,14,51,13,25,10,6,16,4,4,"female","54"
"296",0,0,58,33,23,31,40,29,20,14,20,13,6,14,"male","24"
"298",120,120,62,27,37,42,47,39,15,23,25,10,16,16,"male","22"
"299",0,0,67,42,44,42,52,41,27,27,25,18,18,18,"male","20"
"301",150,150,39,41,23,20,44,31,23,13,11,18,8,9,"female","26"
"303",0,0,71,39,31,49,61,42,24,19,28,15,10,18,"male","20"
"304",100,100,34,32,23,16,46,19,19,15,9,12,8,6,"female","39"
"305",100,100,73,49,32,45,66,45,30,17,28,20,12,20,"male","41"
"310",180,180,65,46,23,42,56,40,28,16,26,18,9,19,"male","23"
"311",300,150,41,43,24,24,58,20,25,14,14,16,8,9,"female","25"
"312",250,240,58,41,45,37,50,42,25,28,22,16,19,17,"male","26"
"313",150,150,40,42,25,30,56,22,27,17,19,17,10,13,"female","32"
"314",150,150,59,37,22,39,52,32,21,15,23,15,8,14,"male","36"
"316",120,120,55,38,34,35,55,34,21,21,21,13,16,14,"female","39"
"318",150,150,29,47,18,14,60,14,28,10,9,18,5,5,"female","22"
"319",100,120,54,45,23,33,60,31,27,15,19,17,9,14,"female","25"
"321",20,0,72,51,36,52,49,52,31,21,31,20,12,20,"female","29"
"322",10,10,60,51,29,43,65,44,32,17,26,22,11,18,"male","20"
"323",130,100,58,46,35,38,58,38,28,21,22,18,13,15,"female","28"
"324",150,50,57,42,33,32,54,32,24,18,19,16,11,12,"male","20"
"325",100,0,56,52,29,47,58,40,34,19,26,24,13,18,"female","21"
"326",150,150,50,38,22,27,54,25,23,15,18,16,9,12,"female","20"
"327",0,0,61,38,21,41,42,41,21,8,25,15,6,17,"female","22"
"329",140,140,40,37,22,27,36,18,20,14,15,12,8,9,"female","25"
"330",0,150,54,34,30,37,50,34,22,19,24,15,12,16,"male","21"
"331",100,100,59,44,38,39,50,40,27,23,24,18,13,17,"male","19"
"332",100,0,49,44,30,32,57,32,25,20,18,17,14,12,"male","20"
"333",150,150,56,32,32,33,48,27,18,20,19,11,13,13,"male","29"
"334",150,0,45,36,35,28,43,24,21,23,17,14,16,10,"male","19"
"335",130,120,67,49,42,39,55,39,31,27,24,20,19,15,"female","26"
"336",100,50,52,38,30,28,46,24,22,17,18,14,11,12,"female","38"
"337",100,50,51,39,25,34,44,31,23,16,22,14,8,16,"male","22"
"339",120,0,67,39,30,38,57,34,22,20,23,15,12,16,"female","46"
"340",150,0,74,47,35,46,57,46,29,21,26,20,12,17,"male","34"
"341",150,150,27,28,16,18,38,22,17,8,9,11,5,5,"female","22"
"342",300,300,44,31,14,29,29,22,19,9,17,12,4,10,"female","63"
"343",150,150,56,55,38,41,64,42,33,24,25,22,15,18,"male","20"
"344",150,150,73,32,33,48,36,45,19,22,28,13,15,19,"female","29"
"345",150,150,30,32,15,15,40,15,18,8,9,11,4,6,"female","50"
"348",10,0,73,51,44,46,61,53,30,27,30,20,16,20,"male","26"
