"","dominance10","prestige10","leadership10","dominance6","prestige6","leadership6","dominance4","prestige4","leadership4","MFQ_harm_s","MFQ_fair_s","MFQ_ingroup_s","MFQ_authority_s","MFQ_purity_s","gender","age"
"119",24,40,46,13,24,28,7,16,17,-0.772181673883179,-0.286579472535305,-1.58519759273782,-1.22874035741076,-0.671147027247601,"female",22
"120",17,48,25,9,26,17,5,18,12,0.969696263785643,1.11631107602921,-1.1139664451723,-2.17872712324084,-1.29030883078957,"female",22
"121",33,42,41,22,26,24,13,17,16,0.152820504437364,0.335829238594421,-0.419994828244303,-0.357989274387246,0.272289545984024,"male",22
"124",28,39,42,14,23,26,8,16,17,0.315010132895759,-0.235535729448704,1.19068887497417,0.117004108527793,-0.462310781413833,"female",22
"125",34,45,44,21,26,27,14,16,19,-1.37280459528693,-0.286579472535305,0.548217675727296,0.473354324195154,0.0634533001502564,"male",21
"127",38,40,41,23,25,26,14,17,17,0.679383274174173,0.805106720464344,0.993698614452255,-0.0808747415264457,0.581870447755007,"male",21
"128",37,43,47,22,24,29,14,15,20,-0.137492485174107,-0.337623215621906,0.102736737002336,-0.635103807248046,1.20103225129697,"male",21
"130",34,51,50,19,29,28,10,21,18,-1.02842839618933,-0.495696341926966,-1.28520649685366,0.394118641388593,-1.44509928167506,"male",19
"131",27,37,25,16,19,13,13,14,8,-0.738115406577859,-1.58738253492662,-0.145753941200703,-0.555868124441485,0.0634533001502564,"male",20
"132",23,37,39,12,21,23,7,15,15,-1.08249160567546,-1.68947002109982,0.0769865281617763,0.0377684257212317,-0.246127601620726,"male",21
"133",38,37,42,25,19,26,16,13,18,0.152820504437364,-0.179550089316847,0.745207936249215,0.0377684257212317,0.218243751035748,"male",20
"134",31,44,45,18,24,28,10,15,18,-0.629988987605595,-0.286579472535305,2.90437341355489,1.58139174171403,0.790706693588774,"male",28
"135",23,31,37,14,18,23,7,13,16,-1.71718079438453,0.0246248830295581,-0.419994828244303,-0.991033308991078,-1.23626303584129,"male",20
"136",30,33,47,17,19,29,8,10,18,0.0246971432842887,0.805106720464344,1.73917064906137,1.18563404160555,0.427079996869515,"male",23
"137",32,26,31,19,14,18,12,6,12,-0.974365186703198,-0.286579472535305,0.0254861104806563,-0.00163905871988435,-0.818590544173753,"male",19
"138",30,37,35,19,23,21,11,14,14,0.679383274174173,1.73871978715893,0.496717258046176,-0.0414672570853296,1.25507804624525,"male",28
"140",40,44,42,25,28,24,17,18,15,0.206883713923496,0.28478549550782,-0.839725558128702,-0.00163905871988435,-0.563055437351047,"male",20
"141",29,32,36,18,17,23,10,10,14,-1.19061802464772,-0.128506346230245,0.0769865281617763,-0.516460640000369,-0.408264986465556,"male",21
"142",21,35,37,15,20,23,9,15,13,-0.319679055813314,-1.11810505305669,-0.445745037084863,-1.03086150735652,0.682615103692221,"male",19
"143",20,39,17,13,23,11,8,15,7,-0.0293660662018431,1.68767604407233,-0.865475766969262,-1.66432625588469,-1.59988973256055,"male",25
