Subject,Rater,DOR,Group,Fear,Dom,Pers,Caut,Stbl,Aut,Curious,Thotl,Stngy,Jeals,Indv,Reckl,Soc,Dist,Tim,Symp,Play,Sol,Vuln,Innov,Actv,Help,Buly,Aggr,Manp,Gntl,Affc,Exct,Impl,Inqs,Subm,Cool,Depd,Irri,Unper,Pred,Decs,Depr,Conv,Sens,Defn,Intll,Prot,Quit,Invt,Clmy,Errc,Frdy,Anx,Lazy,Dsor,Unem,Imit,Indp
Fleur,Melissa Messinese,14/05/2013,group3,2,2,3,4,5,1,5,1,6,3,1,1,3,5,1,3,3,2,3,2,5,5,3,3,2,3,6,5,3,5,2,3,5,3,4,4,3,1,4,5,1,4,5,4,1,1,3,5,3,2,4,1,4,2
Gaetan,Carine Morin,26/01/2008,gaetan,1,7,6,1,3,1,5,2,7,7,6,1,4,2,1,3,1,4,1,2,2,2,7,6,1,1,3,3,3,4,1,5,3,3,3,6,4,1,4,4,2,3,5,3,3,1,2,2,2,6,3,4,1,6
Gaetan,Sophie Steelandt,27/07/2008,gaetan,4,7,6,6,5,1,3,1,6,6,5,1,2,3,3,2,1,5,1,4,2,4,6,5,3,3,2,4,1,2,1,6,1,3,5,6,5,2,6,4,7,4,6,4,2,2,2,4,1,7,3,5,2,7
Gaetan,Cedric Sueur,28/10/2008,gaetan,6,3,6,6,3,1,6,4,6,5,6,3,2,6,4,2,2,2,6,2,4,2,6,5,2,4,2,3,1,1,1,7,2,2,6,6,5,4,7,2,4,2,2,5,2,4,2,4,6,6,4,5,2,5
Grant,Arianna De Marco,14/05/2013,group3,3,6,6,2,3,1,6,5,6,5,6,5,5,2,2,2,6,3,3,6,7,2,7,6,7,3,3,7,5,7,3,3,5,5,3,3,5,1,2,4,6,7,4,2,6,1,3,5,5,2,2,1,4,5
Grant,Andrea Sanna,14/05/2013,group3,5,6,5,2,3,1,5,6,6,6,6,5,6,5,3,4,6,2,2,4,6,4,6,5,5,3,4,5,5,6,2,3,3,4,4,2,4,1,2,4,6,4,4,4,5,1,5,5,4,2,6,3,4,4
Grant,Melissa Messinese,14/05/2013,group3,2,1,2,3,3,1,5,3,5,2,1,3,3,6,3,3,5,2,2,3,5,2,5,3,2,2,2,5,6,6,3,2,5,2,4,4,2,1,4,3,2,4,2,5,3,1,3,5,5,1,4,1,3,3
Greg,Arianna De Marco,14/05/2013,group3,1,7,3,2,4,1,4,4,7,7,7,4,4,5,1,1,1,4,1,2,3,1,5,5,2,3,3,5,5,3,1,3,3,5,5,6,6,3,6,3,1,3,5,5,2,1,3,4,5,5,2,5,4,5
Greg,Andrea Sanna,14/05/2013,group3,1,7,4,3,4,1,2,2,5,2,4,2,2,4,2,4,1,4,2,1,3,2,3,5,4,3,4,3,3,2,1,4,2,4,4,5,4,1,5,4,1,3,5,4,2,3,2,2,2,5,2,4,3,4
Greg,Melissa Messinese,14/05/2013,group3,1,7,7,1,7,1,3,1,7,2,1,1,3,2,1,1,1,2,1,1,1,2,5,5,2,1,1,1,5,3,1,2,3,5,4,5,7,1,4,2,1,3,5,4,2,1,3,3,1,3,4,5,2,2
Guazza,Arianna De Marco,14/05/2013,group3,4,5,5,4,3,1,6,4,5,4,2,4,6,3,3,3,5,2,3,4,6,3,5,5,5,4,5,4,2,6,3,4,7,3,3,2,5,1,2,4,5,5,5,3,4,1,1,5,3,1,2,2,4,2
Guazza,Andrea Sanna,14/05/2013,group3,4,5,4,4,4,1,4,4,4,6,4,2,6,4,3,4,4,2,2,3,5,4,4,3,4,4,4,4,4,4,2,4,3,3,4,4,4,1,3,4,4,4,4,4,4,1,5,6,4,3,4,3,3,3
Guazza,Melissa Messinese,14/05/2013,group3,3,1,1,7,2,1,5,1,3,2,1,1,5,6,3,3,5,2,3,2,6,3,3,2,2,5,6,3,3,5,5,3,5,2,4,3,3,1,4,5,1,4,5,4,4,1,1,6,3,1,4,1,3,2
Guenda,Arianna De Marco,14/05/2013,group3,4,5,5,4,3,1,5,4,4,3,2,4,6,3,3,3,5,2,3,4,6,2,5,5,5,4,5,4,2,6,3,4,7,3,3,2,4,1,2,4,5,5,4,3,4,1,1,5,3,1,2,2,4,2
Guenda,Andrea Sanna,14/05/2013,group3,5,3,4,4,3,1,4,4,4,5,4,2,5,4,3,4,4,2,2,3,5,4,4,3,4,4,4,4,4,4,2,4,3,3,4,4,4,1,3,4,4,4,4,4,4,1,3,5,3,3,4,4,3,4
Guenda,Melissa Messinese,14/05/2013,group3,5,1,1,7,1,1,5,1,3,3,1,1,3,6,3,3,5,2,5,2,6,2,2,1,2,5,6,3,3,5,2,2,5,3,4,2,1,1,4,5,2,2,5,4,4,1,4,6,5,1,4,1,4,2
Guilaine,Arianna De Marco,14/05/2013,group3,5,6,4,6,5,1,4,2,5,3,2,2,6,4,4,3,1,2,3,2,2,2,2,2,2,6,6,3,2,3,2,6,6,2,3,6,4,1,6,5,1,4,6,4,2,1,1,6,2,6,2,4,4,3
Guilaine,Andrea Sanna,14/05/2013,group3,7,6,4,6,5,1,2,2,4,2,4,1,5,4,3,4,2,2,2,2,4,4,2,2,4,5,4,4,4,3,1,4,3,3,4,4,4,1,5,4,2,4,6,4,2,4,2,4,5,4,2,4,3,4
Guilaine,Melissa Messinese,14/05/2013,group3,1,5,5,3,5,1,3,1,6,3,1,1,5,2,1,2,2,2,3,1,1,3,3,2,2,3,5,2,1,3,1,1,5,3,4,2,5,2,4,5,1,3,7,4,2,2,3,5,5,2,4,1,1,2
Jeanne,Carine Morin,26/01/2008,gaetan,2,6,5,3,4,1,4,3,5,5,2,4,6,5,1,4,3,2,2,2,3,3,5,5,2,3,5,3,4,3,1,4,2,3,3,4,5,1,4,4,4,3,5,5,2,2,2,5,2,4,3,4,1,5
Jeanne,Sophie Steelandt,27/07/2008,gaetan,2,6,4,5,4,1,3,2,4,4,4,2,6,3,4,5,1,4,1,2,2,5,4,5,4,3,5,5,3,2,2,4,5,3,3,4,4,4,5,5,5,5,6,4,2,4,5,5,2,6,4,5,3,4
Jeanne,Cedric Sueur,28/10/2008,gaetan,6,6,5,4,7,1,3,3,6,2,2,2,7,2,4,6,5,2,2,3,3,6,6,1,2,6,6,3,2,4,2,7,3,2,4,3,5,2,4,6,2,6,7,3,4,2,2,7,5,5,2,5,2,2
Lady,Carine Morin,26/01/2008,gaetan,2,5,5,4,4,1,5,3,4,4,3,2,6,3,1,4,3,3,2,4,3,2,5,3,3,3,5,2,4,4,2,4,3,3,3,5,4,1,4,4,4,4,4,3,3,2,2,4,2,4,2,3,1,5
Lady,Sophie Steelandt,27/07/2008,gaetan,3,5,3,5,6,1,7,1,4,3,2,3,5,4,5,5,3,4,3,3,4,4,3,3,2,6,6,1,1,2,5,6,6,2,4,5,3,3,6,5,2,5,5,4,3,1,3,6,3,6,3,6,4,3
Lady,Cedric Sueur,28/10/2008,gaetan,2,5,6,3,4,1,5,4,6,6,2,4,6,2,2,3,6,1,2,4,6,3,4,6,5,2,4,6,6,4,2,3,2,5,1,4,6,1,3,5,3,6,2,4,4,2,5,3,2,2,4,2,2,4
Nabou,Arianna De Marco,14/05/2013,group2,2,5,4,5,6,1,2,2,4,3,2,2,4,5,4,2,1,4,4,2,3,2,3,3,2,6,5,3,2,3,3,5,4,2,3,6,4,3,6,4,3,4,3,5,2,1,1,5,3,5,2,5,4,4
Nabou,Andrea Sanna,14/05/2013,group2,2,4,4,4,5,1,2,4,2,2,4,2,4,4,3,4,3,4,3,1,3,4,1,2,4,5,4,4,4,2,3,4,2,3,4,5,4,1,5,4,5,3,5,4,2,1,2,4,3,4,2,4,3,4
Nabou,Melissa Messinese,14/05/2013,group2,1,5,5,2,5,1,3,1,3,2,1,1,5,2,1,3,3,2,2,2,2,2,1,2,2,3,3,2,1,5,6,5,2,3,4,4,5,2,4,5,4,5,7,4,4,2,2,6,2,1,1,1,4,5
Natchez,Arianna De Marco,14/05/2013,group1,1,7,7,4,7,1,4,2,7,7,7,2,2,1,1,1,1,6,1,5,2,1,5,3,2,3,2,3,2,6,1,6,3,2,5,6,7,2,6,3,1,7,2,1,5,1,1,2,1,7,2,5,4,7
Natchez,Andrea Sanna,14/05/2013,group1,2,7,5,5,6,2,5,2,5,2,4,2,2,3,3,4,2,4,2,2,3,4,2,3,4,4,4,3,3,4,1,5,2,3,4,4,4,1,3,4,1,5,5,4,5,3,3,3,3,5,2,3,3,5
Natchez,Melissa Messinese,14/05/2013,group1,1,7,6,1,7,1,3,1,7,1,1,1,3,3,1,1,2,5,2,2,2,2,5,3,2,2,1,2,1,5,1,3,2,5,1,3,5,1,4,2,1,3,2,1,3,1,1,5,3,3,1,2,3,3
Natchez,Elena Vero,14/05/2013,group1,1,7,5,4,7,1,2,1,7,1,4,1,2,1,1,1,2,4,1,2,2,4,6,5,1,1,1,1,1,4,1,7,2,2,2,6,7,1,6,6,1,7,4,1,2,1,2,1,1,1,1,4,1,7
Nereis,Carine Morin,26/01/2008,gaetan,6,1,2,7,1,1,4,1,1,1,1,2,6,5,7,4,2,2,7,2,3,5,2,1,3,6,7,2,5,2,7,2,4,2,3,4,4,3,4,5,2,4,2,4,2,3,1,6,6,4,4,1,1,1
Nereis,Sophie Steelandt,27/07/2008,gaetan,5,2,2,7,4,1,5,1,2,2,3,1,7,2,5,5,3,5,6,3,4,6,2,2,2,7,7,2,1,4,4,4,5,1,2,5,4,5,6,6,1,5,4,4,4,2,1,6,5,3,2,2,4,2
