Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?
lash	2009.02.24	33	2	1	threerisk	High	3	1.067	0.717	<n/a>	0	8	8	0.777	502.75	506.333	511.083	512.15	5	bl	bl	3.216667	2	7	0	Right	1197	1197	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	34	2	1	threerisk	High	3	1.367	0.667	<n/a>	1	7	7	0.777	519.9	524.033	528.75	530.117	5	bl	bl	3.516667	2	6	0	Right	1207	1207	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	35	2	1	threerisk	High	3	0.9	0.467	<n/a>	0	5	5	0.777	543.083	548.383	553.1	554	5	bl	bl	3.05	2	6	0	Right	1157	1157	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	36	2	1	threerisk	High	3	1.717	0.483	<n/a>	1	4	4	0.777	561.4	568.967	573.683	575.4	5	bl	bl	3.866667	2	6	0	Right	1375	1375	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	37	2	1	threerisk	High	3	0.6	0.6	<n/a>	1	5	5	0.777	582.817	587	591.733	592.333	5	bl	bl	2.75	2	6	0	Right	560	560	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	38	2	1	threerisk	High	3	0.917	0.5	<n/a>	1	4	4	0.777	599.867	605.8	610.517	611.433	5	bl	bl	3.05	2	6	0	Right	858	858	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	39	2	1	threerisk	High	3	1.233	0.55	<n/a>	0	8	8	0.777	618.85	625.683	630.417	631.65	5	bl	bl	3.383333	2	6	0	Right	1951	1951	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	40	2	0	threerisk	Low	3	1.3	1.267	0	1	7	8	0.777	639.117	643.267	648	649.3	5	bl	bl	3.45	0	6	0	Left	872	970	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	41	2	0	threerisk	Low	3	2.833	1.267	1	1	6	7	0.777	653.6	654.433	659.15	661.983	5	bl	bl	4.983333	0	7	0	Left	2317	1575	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	42	2	1	threerisk	Low	3	1.667	0.683	<n/a>	1	8	8	0.777	666.2	667.217	671.917	673.583	5	bl	bl	3.8	0	8	0	Left	795	795	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
