Sub	Date	Trial	Accuracy	Risk
ebbi	2011.02.18	58	1	Low
ebbi	2011.02.18	59	1	Low
ebbi	2011.02.18	60	1	Medium
ebbi	2011.02.15	1	1	High
ebbi	2011.02.15	2	1	High
ebbi	2011.02.15	3	1	High
ebbi	2011.02.15	4	1	High
ebbi	2011.02.15	5	1	High
ebbi	2011.02.15	6	1	High
ebbi	2011.02.15	7	1	High
ebbi	2011.02.15	8	1	High
ebbi	2011.02.15	9	1	High
ebbi	2011.02.15	10	1	High
ebbi	2011.02.15	11	1	High
ebbi	2011.02.15	12	1	High
ebbi	2011.02.15	13	1	High
ebbi	2011.02.15	14	1	High
ebbi	2011.02.15	15	1	High
ebbi	2011.02.15	16	1	High
ebbi	2011.02.15	17	1	High
ebbi	2011.02.15	18	1	High
ebbi	2011.02.15	19	1	High
ebbi	2011.02.15	20	1	High
ebbi	2011.02.15	21	1	High
ebbi	2011.02.15	22	1	Low
ebbi	2011.02.15	23	0	Medium
ebbi	2011.02.15	24	1	High
ebbi	2011.02.15	25	1	High
ebbi	2011.02.15	26	1	High
ebbi	2011.02.15	27	1	High
ebbi	2011.02.15	28	1	High
ebbi	2011.02.15	29	0	Low
ebbi	2011.02.15	30	1	Medium
ebbi	2011.02.15	31	0	Low
ebbi	2011.02.15	32	1	High
ebbi	2011.02.15	33	1	High
ebbi	2011.02.15	34	1	High
ebbi	2011.02.15	35	1	High
ebbi	2011.02.15	36	1	High
ebbi	2011.02.15	37	1	Medium
ebbi	2011.02.15	38	0	Medium
ebbi	2011.02.15	39	0	Low
ebbi	2011.02.15	40	0	Low
ebbi	2011.02.15	41	1	Low
ebbi	2011.02.15	42	1	Medium
ebbi	2011.02.15	43	0	Low
ebbi	2011.02.15	44	0	Low
ebbi	2011.02.15	45	1	Medium
ebbi	2011.02.15	46	1	Medium
ebbi	2011.02.15	47	1	High
ebbi	2011.02.15	48	1	Low
ebbi	2011.02.15	49	1	Medium
ebbi	2011.02.15	50	0	Low
ebbi	2011.02.15	51	1	Medium
ebbi	2011.02.15	52	0	Medium
ebbi	2011.02.15	53	0	Low
ebbi	2011.02.15	54	0	Medium
ebbi	2011.02.15	55	0	Low
ebbi	2011.02.15	56	1	Medium
ebbi	2011.02.15	57	1	High
ebbi	2011.02.15	58	0	Low
ebbi	2011.02.15	59	0	Low
ebbi	2011.02.15	60	0	Medium
ebbi	2011.02.24	1	1	High
ebbi	2011.02.24	2	1	High
ebbi	2011.02.24	3	1	High
ebbi	2011.02.24	4	1	High
ebbi	2011.02.24	5	1	High
ebbi	2011.02.24	6	1	High
ebbi	2011.02.24	7	1	High
ebbi	2011.02.24	8	1	High
ebbi	2011.02.24	9	1	High
ebbi	2011.02.24	10	1	High
ebbi	2011.02.24	11	1	High
ebbi	2011.02.24	12	1	High
ebbi	2011.02.24	13	0	High
ebbi	2011.02.24	14	0	Low
ebbi	2011.02.24	15	0	Low
ebbi	2011.02.24	16	0	High
ebbi	2011.02.24	17	1	Low
ebbi	2011.02.24	18	0	Low
ebbi	2011.02.24	19	0	Low
ebbi	2011.02.24	20	1	Low
ebbi	2011.02.24	21	0	Medium
ebbi	2011.02.24	22	0	Medium
ebbi	2011.02.24	23	0	Low
ebbi	2011.02.24	24	0	Low
ebbi	2011.02.24	25	1	High
ebbi	2011.02.24	26	0	Medium
ebbi	2011.02.24	27	1	Medium
ebbi	2011.02.24	28	1	High
ebbi	2011.02.24	29	1	High
ebbi	2011.02.24	30	1	High
ebbi	2011.02.24	31	1	High
ebbi	2011.02.24	32	1	High
ebbi	2011.02.24	33	1	High
ebbi	2011.02.24	34	1	Medium
ebbi	2011.02.24	35	0	Low
ebbi	2011.02.24	36	0	Low
ebbi	2011.02.24	37	1	Medium
ebbi	2011.02.24	38	1	Medium
ebbi	2011.02.24	39	1	High
ebbi	2011.02.24	40	1	Low
ebbi	2011.02.24	41	1	Low
ebbi	2011.02.24	42	0	Medium
ebbi	2011.02.24	43	0	Low
ebbi	2011.02.24	44	0	Low
ebbi	2011.02.24	45	0	Low
ebbi	2011.02.24	46	0	Low
ebbi	2011.02.24	47	0	Medium
ebbi	2011.02.24	48	1	Medium
ebbi	2011.02.24	49	0	Medium
ebbi	2011.02.24	50	0	High
ebbi	2011.02.24	51	1	Low
ebbi	2011.02.24	52	0	High
ebbi	2011.02.24	53	0	Medium
ebbi	2011.02.24	54	0	Low
ebbi	2011.02.24	55	0	High
ebbi	2011.02.24	56	0	Medium
ebbi	2011.02.24	57	0	Medium
ebbi	2011.02.24	58	1	Low
ebbi	2011.02.24	59	0	Medium
ebbi	2011.02.24	60	0	High
ebbi	2011.02.10	1	1	High
ebbi	2011.02.10	2	1	High
ebbi	2011.02.10	3	1	High
ebbi	2011.02.10	4	0	Low
ebbi	2011.02.10	5	1	Low
ebbi	2011.02.10	6	0	Low
ebbi	2011.02.10	7	0	Medium
ebbi	2011.02.10	8	0	Low
ebbi	2011.02.10	9	1	High
ebbi	2011.02.10	10	1	High
ebbi	2011.02.10	11	1	High
ebbi	2011.02.10	12	1	High
ebbi	2011.02.10	13	1	High
ebbi	2011.02.10	14	1	High
ebbi	2011.02.10	15	1	High
ebbi	2011.02.10	16	1	Low
ebbi	2011.02.10	17	0	Low
ebbi	2011.02.10	18	0	Low
ebbi	2011.02.10	19	1	Low
ebbi	2011.02.10	20	1	Low
ebbi	2011.02.10	21	1	High
ebbi	2011.02.10	22	1	High
ebbi	2011.02.10	23	1	High
ebbi	2011.02.10	24	1	Low
ebbi	2011.02.10	25	1	Medium
ebbi	2011.02.10	26	0	Low
ebbi	2011.02.10	27	1	Medium
ebbi	2011.02.10	28	0	Medium
ebbi	2011.02.10	29	1	Medium
ebbi	2011.02.10	30	1	High
ebbi	2011.02.10	31	1	High
ebbi	2011.02.10	32	1	High
ebbi	2011.02.10	33	0	Low
ebbi	2011.02.10	34	0	Low
ebbi	2011.02.10	35	0	Low
ebbi	2011.02.10	36	0	Low
ebbi	2011.02.10	37	0	Low
ebbi	2011.02.10	38	0	High
ebbi	2011.02.10	39	0	Low
ebbi	2011.02.10	40	0	Low
ebbi	2011.02.10	41	0	Medium
ebbi	2011.02.10	42	1	High
ebbi	2011.02.10	43	1	Medium
ebbi	2011.02.10	44	0	Low
ebbi	2011.02.10	45	1	High
ebbi	2011.02.10	46	1	High
ebbi	2011.02.10	47	1	Medium
ebbi	2011.02.10	48	0	Low
ebbi	2011.02.10	49	0	Low
ebbi	2011.02.10	50	1	High
ebbi	2011.02.10	51	1	High
ebbi	2011.02.10	52	1	High
ebbi	2011.02.10	53	1	High
ebbi	2011.02.10	54	1	Medium
