Sub	Date	Trial	Accuracy	Risk
lash	2011.03.10	24	1	Medium
lash	2011.03.10	25	1	Low
lash	2011.03.10	26	1	Medium
lash	2011.03.10	27	1	High
lash	2011.03.10	28	1	High
lash	2011.03.10	29	0	High
lash	2011.03.10	30	0	Medium
lash	2011.03.10	31	1	Low
lash	2011.03.10	32	1	Medium
lash	2011.03.10	33	1	Low
lash	2011.03.10	34	1	High
lash	2011.03.10	35	1	High
lash	2011.03.10	36	0	Medium
lash	2011.03.10	37	1	Medium
lash	2011.03.10	38	0	Low
lash	2011.03.10	39	1	High
lash	2011.03.10	40	0	High
lash	2011.03.10	41	0	High
lash	2011.03.10	42	0	High
lash	2011.03.10	43	0	Medium
lash	2011.03.10	44	0	Low
lash	2011.03.10	45	1	Low
lash	2011.03.10	46	1	Medium
lash	2011.03.10	47	1	High
lash	2011.03.10	48	1	Low
lash	2011.03.10	49	1	Low
lash	2011.03.10	50	1	High
lash	2011.03.10	51	1	Medium
lash	2011.03.10	52	0	High
lash	2011.03.10	53	0	High
lash	2011.03.10	54	0	Medium
lash	2011.03.10	55	1	Low
lash	2011.03.10	56	1	Medium
lash	2011.03.10	57	0	Medium
lash	2011.03.10	58	1	Low
lash	2011.03.10	59	0	Low
lash	2011.03.10	60	0	Medium
lash	2011.03.02	1	1	High
lash	2011.03.02	2	1	High
lash	2011.03.02	3	1	High
lash	2011.03.02	4	1	Medium
lash	2011.03.02	5	1	Low
lash	2011.03.02	6	0	Low
lash	2011.03.02	7	1	Low
lash	2011.03.02	8	1	High
lash	2011.03.02	9	1	Medium
lash	2011.03.02	10	1	Medium
lash	2011.03.02	11	0	Low
lash	2011.03.02	12	0	Medium
lash	2011.03.02	13	1	Low
lash	2011.03.02	14	1	High
lash	2011.03.02	15	1	High
lash	2011.03.02	16	0	Medium
lash	2011.03.02	17	1	Medium
lash	2011.03.02	18	1	Low
lash	2011.03.02	19	1	Low
lash	2011.03.02	20	1	High
lash	2011.03.02	21	1	Medium
lash	2011.03.02	22	1	Low
lash	2011.03.02	23	1	Low
lash	2011.03.02	24	1	High
lash	2011.03.02	25	1	High
lash	2011.03.02	26	1	Medium
lash	2011.03.02	27	0	Low
lash	2011.03.02	28	0	Medium
lash	2011.03.02	29	1	High
lash	2011.03.02	30	1	High
lash	2011.03.02	31	1	High
lash	2011.03.02	32	1	Low
lash	2011.03.02	33	0	Low
lash	2011.03.02	34	1	Medium
lash	2011.03.02	35	1	Medium
lash	2011.03.02	36	1	High
lash	2011.03.02	37	0	High
lash	2011.03.02	38	1	Medium
lash	2011.03.02	39	1	Low
lash	2011.03.02	40	1	Medium
lash	2011.03.02	41	1	Medium
lash	2011.03.02	42	1	High
