Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?
ebbi	2009.02.18	55	3	0	threerisk	Low	3	0.7	0.567	1	1	9	11	0.562	672.233	673.183	677.917	678.617	8	bl	bl	2.866667	0	3	0	Left	1607	2017	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	56	3	0	threerisk	Low	3	0.7	2.033	1	2	9	10	0.562	682.467	683.2	687.95	688.65	8	bl	bl	2.883333	0	4	0	Left	1949	2117	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	57	3	1	threerisk	High	3	1.35	0.517	<n/a>	1	11	11	0.562	693.883	695.017	699.817	701.167	8	bl	bl	3.583333	0	5	0	Right	1958	1958	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	58	3	0	threerisk	Low	3	0.8	0.5	0	0	10	9	0.562	707.133	707.95	712.733	713.533	8	bl	bl	3	2	9	0	Left	1361	969	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	59	3	1	threerisk	High	3	1.617	0.5	<n/a>	0	11	11	0.562	718.633	720.517	725.283	726.9	8	bl	bl	3.816667	2	6	0	Right	255	255	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	60	3	0	threerisk	Low	3	0.65	0.5	1	1	6	7	0.562	734.35	735.983	740.767	741.417	8	bl	bl	2.866667	0	6	0	Left	1662	790	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	1	3	0	threerisk	Low	3	0.733	1.183	0	1	4	6	0.772	1.233	2.767	7.483	8.217	8	bl	bl	2.883333	0	6	0	Left	296	1861	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	2	3	0	threerisk	Low	3	0.733	0.533	0	1	8	9	0.772	12.817	16.133	20.9	21.633	8	bl	bl	2.95	0	7	0	Left	1391	1319	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	3	3	0	threerisk	Low	3	1.65	0.517	0	0	4	9	0.772	25.117	26.433	31.2	32.85	8	bl	bl	3.833333	0	8	0	Left	345	143	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.27	4	3	0	threerisk	Low	3	0.617	0.483	0	2	6	8	0.772	36.267	37.15	41.95	42.567	8	bl	bl	2.833333	2	9	0	Left	1496	1944	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
