Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?	LowHighPBSC	LowvsMedPBSC	MedvsHighPBSC	LoMedvsHighPBSC	LovsMedHighPBSC
ebbi	2010.07.23	51	1	1	threerisk	High	3	2.5	8.533	<n/a>	0	11	11	0.809	970.417	971.067	985	987.5	8	bl	bl	14.13333	2	7	8.85719	Right	1021	1021	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	52	1	1	threerisk	Medium	3	3.15	3.167	<n/a>	0	5	5	0.809	995.283	997.5	1006.117	1009.267	10	bl	bl	9.45	0	6	8.591474	Middle	770	770	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	53	2	0	threerisk	Low	3	0.5	4.367	0	0	6	4	0.809	1013.667	1014.3	1024.067	1024.567	8	bl	bl	7.966667	0	9	7.33373	Left	453	1731	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	54	1	0	threerisk	Low	3	0.517	4.917	0	0	10	5	0.809	1027.217	1027.833	1038.15	1038.667	7	bl	bl	8.533333	2	10	6.113718	Left	1084	1452	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	55	1	1	threerisk	High	3	1.083	8.117	<n/a>	0	9	9	0.809	1043.517	1045.367	1058.883	1059.967	6	bl	bl	12.28333	2	6	6.930306	Right	2129	2129	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	56	3	1	threerisk	High	3	0.617	8.817	<n/a>	0	4	4	0.809	1067.767	1070.333	1084.517	1085.133	4	bl	bl	12.48333	2	6	7.722397	Right	1355	1355	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	57	1	1	threerisk	Medium	3	0.633	3.483	<n/a>	0	4	4	0.809	1092.917	1095.867	1104.733	1105.367	6	bl	bl	7.183333	0	6	7.490725	Middle	567	567	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	58	1	0	threerisk	Low	3	0.483	5.033	0	0	5	4	0.809	1109.733	1110.5	1120.933	1121.417	9	bl	bl	8.6	0	9	6.266004	Left	897	34	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	59	3	0	threerisk	Low	3	0.533	5.017	0	1	5	4	0.809	1124.1	1124.767	1135.267	1135.8	7	bl	bl	8.716667	2	10	5.078023	Left	1901	328	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	60	2	1	threerisk	High	3	0.65	7.917	<n/a>	1	6	6	0.809	1140.667	1142.6	1155.883	1156.533	5	bl	bl	11.63333	2	6	5.925683	Right	236	236	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.27	1	1	1	threerisk	High	3	0.617	1.3	<n/a>	0	5	5	0.509	1.067	1.7	8.367	8.983	3	bl	bl	4.966667	2	6	1	Right	678	678	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	2	2	1	threerisk	High	3	2.067	1.433	<n/a>	0	11	11	0.509	16.867	18.733	25.583	27.65	9	bl	bl	6.6	2	6	1.97	Right	1441	1441	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	3	2	0	threerisk	Low	3	0.767	1.133	0	1	14	6	0.509	35.45	39.35	45.9	46.667	11	bl	bl	5.016667	0	6	0.9109	Left	500	1097	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	4	1	1	threerisk	High	3	1.267	1.567	<n/a>	0	7	7	0.509	49.6	50.417	57.383	58.65	8	bl	bl	5.916667	2	7	1.883573	Right	175	175	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	5	3	0	threerisk	High	3	1.433	2.033	1	1	4	6	0.509	66.45	68.167	75.633	77.067	11	bl	bl	6.583333	0	6	2.827066	Right	1331	1031	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	6	3	0	threerisk	Low	3	1.7	1.117	1	0	5	15	0.509	84.667	85.35	91.917	93.617	12	bl	bl	5.95	0	1	1.742254	Left	29	2266	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	7	2	0	threerisk	High	3	2.283	2.533	1	0	6	7	0.509	96.95	97.5	105.417	107.7	5	bl	bl	7.883333	0	2	2.689986	Right	729	1229	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	8	3	0	threerisk	Low	3	0.55	1.583	0	2	7	4	0.509	112.517	113.15	120.167	120.717	12	bl	bl	5.25	0	0	1.609287	Left	708	2481	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	9	3	1	threerisk	High	3	0.933	2.883	<n/a>	0	8	8	0.509	124.117	124.783	133.033	133.967	7	bl	bl	6.866667	0	1	2.561008	Right	405	405	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	10	2	0	threerisk	Medium	3	1.433	1.033	1	1	4	5	0.509	141.5	142.083	148.483	149.917	4	bl	bl	5.533333	0	6	2.484178	Middle	1391	425	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	11	2	1	threerisk	High	3	1.383	3.25	<n/a>	1	5	5	0.509	152.917	153.733	162.35	163.733	5	bl	bl	7.683333	0	5	3.409652	Right	2396	2396	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	12	1	0	threerisk	Low	3	0.45	1.9	0	0	11	4	0.509	169.667	170.483	177.8	178.25	9	bl	bl	5.466667	2	10	2.307363	Left	89	946	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	13	3	0	threerisk	Low	3	2.417	2.583	0	1	13	9	0.509	183.133	184.85	192.867	195.283	12	bl	bl	8.133333	0	6	1.238142	Left	1536	1782	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	14	1	1	threerisk	Medium	3	0.733	1.45	<n/a>	0	9	9	0.509	198.217	198.767	205.617	206.35	6	bl	bl	5.266667	0	7	1.200998	Middle	2489	2489	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	15	1	1	threerisk	Low	3	0.517	2.8	<n/a>	0	5	5	0.509	210.467	211.367	219.517	220.033	3	bl	bl	6.366667	2	10	0.1649678	Left	1875	1875	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	16	1	1	threerisk	High	3	0.733	3.217	<n/a>	0	5	5	0.509	224.883	227.1	235.767	236.5	10	bl	bl	7.1	2	6	1.160019	Right	2369	2369	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	17	2	1	threerisk	High	3	0.6	3.65	<n/a>	0	4	4	0.509	244.3	245.917	255.017	255.617	11	bl	bl	7.383333	2	6	2.125218	Right	1557	1557	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	18	1	1	threerisk	High	3	0.933	4.083	<n/a>	0	6	6	0.509	263.417	266.667	276.183	277.117	10	bl	bl	8.133333	2	6	3.061462	Right	1134	1134	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	19	2	0	threerisk	Low	3	0.483	2.967	1	1	8	4	0.509	284.917	287.35	295.683	296.167	5	bl	bl	6.516667	0	6	1.969618	Left	1790	1855	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	20	3	0	threerisk	Low	3	0.517	3.383	0	0	11	4	0.509	299.1	299.683	308.483	309	10	bl	bl	7	0	7	0.9105293	Left	1452	1591	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
ebbi	2010.07.27	21	1	1	threerisk	Medium	3	0.6	1.517	<n/a>	0	6	6	0.509	311.817	312.783	319.717	320.317	8	bl	bl	5.216667	2	8	0.8832134	Middle	209	209	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.509	<n/a>	<n/a>	0.414	0.372
