sex,status,age_pr,age,origin,sample,Dom,Ext,Con,Agr,Neu,Opn
0,0,2.940451745,15.10321258,CAPTIVE,2,4.5,5.333333333,5.666666667,4,5,5
0,0,5.921971253,27.91250854,CAPTIVE,2,4.80952381,6.015873016,4.523809524,4,4.571428572,5.571428572
0,0,12.14601871,21.15652768,CAPTIVE,4,3.8,4.8,5.404761905,4.222222222,4.066666667,5.25
0,0,30.37371663,40.56049214,WILD,4,3.866666667,4.033333333,4.642857143,3.5,3.8,2.75
1,1,17.87559809,18.85167464,CAPTIVE,6,3,2.666666667,4.444444444,3.2,4,2.5
0,0,55.24161533,77.15379357,WILD,2,4.483333333,2.6,5.422222222,4.48,3.066666667,4.7
0,0,23.22792608,45.1975393,WILD,2,2.833333333,4.305555556,5.708333333,4.5,6,3.25
1,1,17.30416951,24.12303486,CAPTIVE,6,5.75,5.444444444,4.222222222,3.4,6,7
1,0,9.306867442,19.53520164,CAPTIVE,4,4.266666667,4.9,4.690476191,4.277777778,3,5.083333333
0,0,4.831168831,21.86466165,CAPTIVE,6,4.5,5.555555556,4.888888889,3.8,5.333333333,5
0,0,2.767967146,24.72727273,CAPTIVE,2,3.916666667,5.962962963,5.037037037,4,3.666666667,4.666666667
0,0,9.848257006,24.39917977,CAPTIVE,6,3.541666667,3.944444444,5.833333333,3.4,3.333333333,3.5
0,0,2.910335387,19.39302802,CAPTIVE,2,3.708333333,4.694444444,5.527777778,4.05,3.833333333,4.75
1,0,9.208475735,27.85782638,CAPTIVE,6,2.25,3.777777778,5.555555556,3.4,3.666666667,3
1,0,0.944558522,22.02597403,CAPTIVE,2,3.7,6.711111111,5.866666667,4.2,3.8,5.7
0,1,34.91033539,37.77990431,WILD,4,4.666666667,4.433333333,5.595238095,5.666666667,2.533333333,2.666666667
0,0,8.497607656,23.01845523,CAPTIVE,6,3.666666667,4.444444444,4.444444444,4.8,4,4
1,0,11.48325359,17.67874231,CAPTIVE,3,4.216666667,5.15,4.571428571,3.458333333,4.05,5.3125
0,1,46.28062971,47.34107997,WILD,2,4.805555556,3.333333333,5.851851852,5,3.555555555,4
0,0,13.14533425,23.39576213,CAPTIVE,4,4.155555555,4.033333333,4.214285714,2.833333333,4.533333333,3.583333333
0,0,30.13004791,39.58168148,WILD,2,4.791666667,5,6.666666667,5.6,2.833333333,7
0,1,47.27994524,59.46411483,WILD,2,5.611111111,3.518518519,6.259259259,6.066666667,2.944444444,2.666666667
0,0,12.70813397,31.29460014,CAPTIVE,6,5.291666667,4.388888889,4.388888889,3.6,4.666666667,3
1,0,6.896646133,17.18113465,CAPTIVE,4,3.888888889,5.2,4.714285714,4.111111111,3.6,4.916666667
1,1,20.51674641,25.11551606,CAPTIVE,6,6.291666667,3.444444444,2.444444444,1.8,6.666666667,3
0,0,9.000683527,27.23718387,CAPTIVE,6,4.75,5.277777778,4.388888889,4.4,4.166666667,5.25
0,1,6.345864662,21.56390977,CAPTIVE,6,5.25,3.444444444,3.555555556,2.7,4.166666667,3.75
0,1,50.24503765,64.91319207,WILD,2,2.875,3.888888889,5.222222222,4.8,4.666666667,3.75
1,0,21.52016405,38.56732741,CAPTIVE,6,3.791666667,4.222222222,4.166666667,3.4,5.166666667,4
0,0,34.44490075,56.40738209,CAPTIVE,2,4.5,3.259259259,4.888888889,4.066666667,5.666666667,2
0,0,28.76281613,47.04032809,WILD,6,2.541666667,2.833333333,5.555555556,3.8,2.833333333,2.5
1,0,3.942583732,22.02050581,CAPTIVE,6,3.5,5.722222222,4.166666667,5,5.166666667,4.25
0,1,24.94053315,28.10663021,CAPTIVE,6,4.166666667,3.555555556,5.333333333,4.8,3.666666667,4
1,0,0.813141684,20.66985646,CAPTIVE,2,3.166666667,6.481481481,6.592592593,3.133333333,3.111111111,5.333333334
0,1,6.616541353,22.96924129,CAPTIVE,6,2.625,4.111111111,5.444444444,4.3,3.333333333,3.25
0,0,6.022359115,16.12850308,CAPTIVE,4,4.044444445,4.933333334,4.190476191,3.166666667,3.666666667,5.75
0,0,12.52768284,30.86261107,CAPTIVE,6,4.458333333,4.222222222,3.166666667,3.8,4.5,4.25
1,0,10.85831622,23.08680793,CAPTIVE,2,3.916666667,5.444444444,5.111111111,4.95,4.666666667,6
1,1,23.24435318,32.86124402,WILD,2,5.133333333,3.8,3.333333333,3.12,5.866666667,3.4
1,1,45.45379877,57.27682843,WILD,2,4.625,4.638888889,4.861111111,4.85,3.833333333,3.375
1,1,21.24024641,33.00341763,WILD,2,6.020833333,4.972222222,3.805555556,3.15,5.083333333,4
1,1,33.4665754,35.33834586,WILD,4,5.288888889,4.033333333,4.452380952,3.833333333,3.4,3.75
0,1,29.99863295,40.9924812,WILD,6,4.5,3.444444444,6.222222222,4,3,6.5
0,1,43.2125769,53.76349966,CAPTIVE,6,2.583333333,2.944444444,5.722222222,3.7,4.333333333,2.75
1,0,8.503075871,25.69241285,CAPTIVE,6,4.416666667,4.555555556,3.333333333,2,5.666666667,5
0,0,10.14080656,24.80656186,CAPTIVE,6,3.041666667,3.666666667,5.277777778,4.2,4.5,3.25
1,0,9.495557075,26.66848941,CAPTIVE,6,3.25,5.444444444,5.444444444,4.4,5.333333333,5.5
0,1,25.20574163,42.81613124,CAPTIVE,6,6.583333333,3.777777778,3.111111111,2.4,6,4.5
0,0,5.432672591,23.88790157,CAPTIVE,6,5.916666667,3.833333333,3.055555556,3.1,5.166666667,5
1,1,4.139439508,16.72727273,CAPTIVE,6,3.75,6.111111111,4.222222222,2.6,5.333333333,5
0,0,12.95550992,17.65140123,CAPTIVE,2,4.194444444,3.333333333,5.074074074,3.433333333,4,2.916666667
0,0,14.2556391,20.45112782,CAPTIVE,3,4.1,4.3,4.607142857,3.333333333,4.6,4.625
1,0,15.29733424,33.81818182,CAPTIVE,6,3.583333333,4.777777778,4.333333333,4.4,3,1.5
0,0,9.278576318,21.17840055,CAPTIVE,2,3.75,4.814814815,4.518518518,3.866666667,5,4.166666667
0,0,28.89131921,35.08680793,CAPTIVE,3,5.4,4.675,5.696428571,5.208333333,2.55,4.875
1,1,10.4962406,18.76418319,CAPTIVE,6,3.5,4.333333333,5.888888889,3.8,4.666666667,4
0,0,13.83709788,34.90909091,CAPTIVE,2,4.569444444,4.685185185,5.685185185,4.3,3.611111111,3.416666667
1,1,45.50308008,55.17703349,WILD,2,4.694444444,5.777777778,5.777777778,5.066666667,4.666666667,4.5
0,0,6.868079289,21.41900205,CAPTIVE,6,4.25,4.777777778,4.333333333,3.2,4.666666667,3.5
0,0,17.80424367,39.5543404,CAPTIVE,2,4.388888889,4.851851852,6.37037037,5.466666666,3.111111111,5.166666667
1,0,2.376454483,24.33082707,CAPTIVE,2,3.708333333,6.5,4.444444444,5,5.833333333,6
1,0,8.457221081,30.01230349,CAPTIVE,2,4.388888889,4.685185185,4.407407407,3.733333333,4.222222222,4.5
1,1,13.73069036,19.8961039,CAPTIVE,6,4.5,3.777777778,2.888888889,2.8,5.666666667,4
0,0,15.24070272,25.51196172,CAPTIVE,4,3.888888889,4.066666667,5.047619048,3.944444445,2.8,3.833333334
1,1,24.65434634,38.02870813,WILD,2,5.291666667,3.444444444,4.944444444,3.7,3.5,3
0,1,28.87764867,37.54477102,CAPTIVE,6,3.25,2.111111111,6.444444444,3.2,1.666666667,2
1,0,3.641341547,25.39712919,CAPTIVE,2,4.25,6.185185185,5.074074074,4.4,4.555555556,5.5
0,0,15.52452658,25.96308954,CAPTIVE,4,3.466666667,5,4.714285714,3.222222222,5.533333333,6.416666667
0,1,16.79289132,30.734108,CAPTIVE,6,3.333333333,3.111111111,5.666666667,3,3.666666667,3.5
1,0,7.898699521,19.0102529,CAPTIVE,2,4.016666667,5.688888889,4.355555556,3.12,4.933333333,5.4
1,0,9.820670773,20.92959672,CAPTIVE,2,3.183333333,5.422222222,4.488888889,4.12,5.6,4.5
0,0,33.78234086,54.82706767,CAPTIVE,2,5.236111111,4.388888889,4.851851852,4.3,4.222222222,2.916666667
0,0,4.700205339,13.78263841,CAPTIVE,4,3.883333333,5.525,5.446428571,3.875,3.9,4.75
1,1,4.951469583,10.38961039,CAPTIVE,6,3.083333333,6.222222222,4.777777778,3.2,4.666666667,5
1,1,21.13620808,36.59603554,WILD,2,5.722222222,5.037037037,5.481481481,5.466666667,4.666666666,5.166666667
1,0,16.38512434,26.63568011,CAPTIVE,4,5.244444445,4.366666667,5.428571429,3.666666667,3.466666667,4.333333333
1,0,26.28975587,36.56596036,WILD,4,4.133333333,4.2,4.642857143,3.944444445,3.066666667,3.75
0,1,35.77033493,44.15311005,WILD,6,4.958333333,3.888888889,5.055555556,4.4,3.166666667,3.5
0,1,5.711156742,13.84825701,CAPTIVE,2,1.333333333,4.444444444,6.777777778,2.6,6.666666667,1
0,1,57.53110048,57.88380041,CAPTIVE,6,4.166666667,4.555555556,4.888888889,6.6,4,5.5
0,0,7.753593429,19.78947368,CAPTIVE,2,3.555555556,6.037037037,5.296296296,5.066666667,4.111111111,4.833333333
1,0,17.79329227,39.82228298,CAPTIVE,2,4.694444444,3.592592593,4.740740741,3.533333333,4.333333333,3.833333333
0,1,34.64388243,37.95488722,WILD,6,5.333333333,2.666666667,2.777777778,2.8,6.666666667,2.5
0,0,29.33059548,39.55980861,WILD,4,4.088888889,3.933333333,4.857142857,3.388888889,3.533333333,3.75
1,0,10.88295688,32.6507177,CAPTIVE,2,5.833333333,5.611111111,3.666666667,3.2,5.333333333,5.75
1,0,2.940451745,15.10321258,CAPTIVE,2,4,5.222222222,5.333333333,4.6,5.333333333,4
1,0,29.35611757,48.01093643,CAPTIVE,6,2.75,3.888888889,5.777777778,4.6,2.666666667,2.5
0,0,7.926078029,29.90293917,CAPTIVE,2,4.208333333,5.777777778,3.666666667,4.433333333,4.722222222,5.5
0,1,1.960301164,16.95146958,CAPTIVE,2,2.694444445,6.037037037,5.074074074,5.266666666,5.333333333,5.333333334
0,0,25.13620808,44.19958988,WILD,2,2.722222222,4.148148148,4.296296296,4.733333333,6.444444444,6.5
0,0,29.73069036,48.101162,CAPTIVE,6,4.333333333,2.944444444,4.555555556,3,3.333333333,2.25
1,0,24.28434723,24.6507177,CAPTIVE,3,4.366666667,3.05,5.178571429,3.416666667,3,2.125
1,0,6.786056049,25.22488038,CAPTIVE,6,6.25,5.111111111,3,2.4,6,5.75
