Round 1,Region,Seed,Team,Round 1 Results,Round 2,Region,Seed,Team,Round 2 Results,Round 3,Region,Seed,Team,Round 3 Results,Round 4,Region,Seed,Team,Round 4 Results,Round 5,Region,Seed,Team,Round 5 Results,Round 6,Region,Seed,Team,Round 6 Results
,,9,Alabama,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,Temple,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,South Florida,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,Michigan,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,Ohio,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,San Diego St.,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,North Carolina St.,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Georgetown,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,Belmont,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,Saint Mary's,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,Purdue,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Kansas,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,Detroit,L,,,,,,,,,,,,,,,,,,,,,,,,,
