sagRank,Team,,RATING,W,L,SCHEDL,(RANK) VS,top,25,|,VS top,50,|,GO,LDEN_MEA,N,|,PREDICTOR,,|,PURE_ELO,
86,Mercer,=,78.29,19,8,68.79,-264,0,0,|,0,2,|,,80.13,70,|,78.02,90,|,76.84  1,5
87,UC Santa Barbara,=,78.29,16,8,72.9,-137,0,1,|,0,2,|,,77.61,95,|,77.76,94,|,80.46,66
88,New Mexico St.,=,78.29,20,9,69.83,-232,0,2,|,1,3,|,,78.63,80,|,78.27,85,|,76.98  1,2
89,Cleveland St.,=,78.27,18,10,72.65,-149,0,1,|,0,1,|,,78.59,81,|,78.07,89,|,77.75,95
90,Notre Dame,=,78.26,15,14,77.02,-65,1,6,|,1,7,|,,77.59,96,|,78.68,80,|,76.10  1,15
91,Vanderbilt,=,78.03,15,12,77.34,-61,0,2,|,1,5,|,,77.72,91,|,77.96,91,|,77.52,97
92,Washington,=,78.02,16,13,77.78,-50,0,3,|,5,7,|,,77.51,97,|,77.7,95,|,78.87,84
93,Seton Hall,=,77.98,14,15,76.5,-75,0,4,|,1,7,|,,78.23,88,|,78.68,79,|,73.96  1,49
94,Miami FL,=,77.88,14,14,76.57,-74,1,5,|,3,7,|,,78.21,89,|,78.44,83,|,74.31  1,45
95,Oregon St.,=,77.78,15,12,76.63,-72,1,1,|,3,5,|,,78.56,82,|,77.25,100,|,78.36,91
96,UC Irvine,=,77.59,17,10,72.85,-141,0,0,|,0,2,|,,77.24,99,|,77.28,98,|,78.22,93
97,Wyoming,=,77.53,15,11,74.25,-114,1,1,|,1,5,|,,77.14  1,0,|,77.77,93,|,75.77  1,21
98,Ohio,=,77.46,18,9,72.76,-146,0,1,|,0,2,|,,77.24,98,|,76.68,103,|,80.48,65
99,Alabama,=,77.38,10,17,79.32,-20,0,5,|,0,9,|,,78.39,84,|,77.53,97,|,74.80  1,36
100,Buffalo,=,77.3,16,8,71.56,-176,0,0,|,0,0,|,,77.92,90,|,76.59,104,|,78.98,83
101,Northern Iowa,=,77.24,14,14,74.67,-108,0,4,|,1,4,|,,76.80  1,3,|,77.66,96,|,74.81  1,34
102,Toledo,=,77.19,22,5,71.76,-170,0,1,|,0,1,|,,76.56  1,7,|,76.18,110,|,82.3,46
103,UTEP,=,77.11,18,9,71.54,-178,0,2,|,2,2,|,,76.13  1,10,|,76.4,107,|,80.67,64
104,Middle Tennessee,=,77.1,19,8,70.96,-195,0,2,|,0,3,|,,75.59  1,15,|,76.75,102,|,79.21,81
105,North Carolina Central,=,77.06,20,5,63.82,-351,0,2,|,0,2,|,,76.76  1,5,|,76.18,111,|,80.74,63
