Round 1,Region,Seed,Team,Round 1 Results,Round 2,Region,Seed,Team,Round 2 Results,Round 3,Region,Seed,Team,Round 3 Results,Round 4,Region,Seed,Team,Round 4 Results,Round 5,Region,Seed,Team,Round 5 Results,Round 6,Region,Seed,Team,Round 6 Results
,East,1,Indiana,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,James Madison,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,North Carolina St.,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,Temple,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,UNLV,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,California,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,Syracuse,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,Montana,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,Butler,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,Bucknell,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Marquette,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,Davidson,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,Illinois,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,Colorado,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Miami FL,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,Pacific,L,,,,,,,,,,,,,,,,,,,,,,,,,
