"","ID","location","Age","Sex","fWHR","Dom","Ext","Con","Agr","Neu","Opn","Subspecies","instrument"
"268","ea2fbf1b","b9c70733",39,0,1.741935484,4.42222222213333,3.3999999999,4.73809523814286,4.111111111,3.5333333334,3.58333333325,"verus","07995578"
"269","b9283d89","9b783f03",17,1,1.569230769,4,5.15,4.67857142857143,4.91666666666667,5,5.625,"verus","07995578"
"270","b9283d89","9b783f03",20,1,1.462199313,4,5.15,4.67857142857143,4.91666666666667,5,5.625,"verus","07995578"
"271","b9283d89","9b783f03",18,1,1.443298969,4,5.15,4.67857142857143,4.91666666666667,5,5.625,"verus","07995578"
"272","b9283d89","9b783f03",20,1,1.45974026,4,5.15,4.67857142857143,4.91666666666667,5,5.625,"verus","07995578"
"273","b9283d89","9b783f03",20,1,1.284782609,4,5.15,4.67857142857143,4.91666666666667,5,5.625,"verus","07995578"
"274","b9283d89","9b783f03",17,1,1.68503937,4,5.15,4.67857142857143,4.91666666666667,5,5.625,"verus","07995578"
"275","2ee0a865","b9c70733",23,1,1.723684211,3.84444444433333,3.3666666665,3.97619047621429,2.72222222233333,5.1333333334,2.3333333335,"verus","07995578"
"276","2ee0a865","b9c70733",23,1,2.118644068,3.84444444433333,3.3666666665,3.97619047621429,2.72222222233333,5.1333333334,2.3333333335,"verus","07995578"
"277","7de72af7","1b5b4aec",47,1,1.142621,2.63333333333333,3.45,5,4.83333333333333,4.8,2.25,"verus","07995578"
"278","7de72af7","1b5b4aec",48,1,1.217773,2.63333333333333,3.45,5,4.83333333333333,4.8,2.25,"verus","07995578"
"279","7de72af7","1b5b4aec",47,1,1.217064,2.63333333333333,3.45,5,4.83333333333333,4.8,2.25,"verus","07995578"
"280","7de72af7","1b5b4aec",47,1,1.365654,2.63333333333333,3.45,5,4.83333333333333,4.8,2.25,"verus","07995578"
"281","7de72af7","1b5b4aec",48,1,1.261998,2.63333333333333,3.45,5,4.83333333333333,4.8,2.25,"verus","07995578"
"282","7de72af7","1b5b4aec",48,1,1.320922,2.63333333333333,3.45,5,4.83333333333333,4.8,2.25,"verus","07995578"
"283","7de72af7","1b5b4aec",48,1,1.340294,2.63333333333333,3.45,5,4.83333333333333,4.8,2.25,"verus","07995578"
"284","7de72af7","1b5b4aec",48,1,1.1991,2.63333333333333,3.45,5,4.83333333333333,4.8,2.25,"verus","07995578"
"285","7de72af7","1b5b4aec",47,1,1.136253,2.63333333333333,3.45,5,4.83333333333333,4.8,2.25,"verus","07995578"
"286","7de72af7","1b5b4aec",47,1,1.359075,2.63333333333333,3.45,5,4.83333333333333,4.8,2.25,"verus","07995578"
"287","7de72af7","1b5b4aec",48,1,1.228013,2.63333333333333,3.45,5,4.83333333333333,4.8,2.25,"verus","07995578"
"288","7de72af7","1b5b4aec",48,1,1.167236,2.63333333333333,3.45,5,4.83333333333333,4.8,2.25,"verus","07995578"
"289","88efad41","b9c70733",15,1,1.855855856,4.13333333333333,4.6333333333,4.09523809521429,3.22222222216667,4.6,4.416666667,"verus","07995578"
"290","dbe82fd3","b9c70733",26,0,1.644736842,3.62222222233333,4.2,4.99999999992857,4.27777777766667,3,3.83333333325,"verus","07995578"
"291","b98fa46c","b9c70733",14,0,1.698630137,4.15555555553333,4.2000000001,4.8095238095,3.83333333333333,3.1333333332,4.16666666675,"verus","07995578"
"292","ea8826fe","b9c70733",29,1,1.721153846,4.77777777773333,3.6999999999,3.3095238095,2.83333333316667,4.2666666666,3.58333333325,"verus","07995578"
"293","1f80a148","b9c70733",10,1,2.064327485,3.6666666666,4.0666666668,4.52380952378571,4.22222222216667,3.4666666666,3.91666666675,"verus","07995578"
"294","4c8723da","b9c70733",22,0,2.163265306,4.48888888886667,3.8666666666,3.49999999992857,3.72222222216667,4.2666666666,3.66666666675,"verus","07995578"
"295","4c8723da","b9c70733",22,0,2.311111111,4.48888888886667,3.8666666666,3.49999999992857,3.72222222216667,4.2666666666,3.66666666675,"verus","07995578"
"296","4c8723da","b9c70733",23,0,1.782608696,4.48888888886667,3.8666666666,3.49999999992857,3.72222222216667,4.2666666666,3.66666666675,"verus","07995578"
"297","eb608cd1","a7adef23",NA,0,1.446126,3.80875,5.425,4.065,4.27,3.76333333333333,5.335,"troglodytes","99391edf"
"298","b8670e43","9b783f03",32,0,1.562211982,2.4,4.4,4.53571428571429,4.5,5.8,3.5,"verus","07995578"
"299","b8670e43","9b783f03",29,0,2.145833333,2.4,4.4,4.53571428571429,4.5,5.8,3.5,"verus","07995578"
"300","b8670e43","9b783f03",32,0,1.699152542,2.4,4.4,4.53571428571429,4.5,5.8,3.5,"verus","07995578"
"301","b8670e43","9b783f03",32,0,1.643442623,2.4,4.4,4.53571428571429,4.5,5.8,3.5,"verus","07995578"
"302","b8670e43","9b783f03",32,0,1.46778043,2.4,4.4,4.53571428571429,4.5,5.8,3.5,"verus","07995578"
"303","b8670e43","9b783f03",29,0,1.842696629,2.4,4.4,4.53571428571429,4.5,5.8,3.5,"verus","07995578"
"304","4d6f89f5","a7adef23",NA,0,1.334346,4.12375,4.77166666666667,4.24333333333333,5.045,3.39333333333333,4.685,"troglodytes","99391edf"
"305","1e680b67","a7adef23",NA,1,1.525198,3.94625,4.905,4.88166666666667,4.855,3.24,4.215,"verus","99391edf"
"306","7c0f80d8","b9c70733",24,1,1.829787234,4.8222222222,3.8333333334,3.35714285721429,2.888888889,4.1333333332,3.75,"verus","07995578"
"307","2f08024a","b9c70733",7,0,1.973451327,5.4,4.7,4.3095238095,3.0555555555,4.1333333332,6.08333333325,"verus","07995578"
"308","2f08024a","b9c70733",13,0,1.639534884,5.4,4.7,4.3095238095,3.0555555555,4.1333333332,6.08333333325,"verus","07995578"
"309","2f08024a","b9c70733",13,0,2.105263158,5.4,4.7,4.3095238095,3.0555555555,4.1333333332,6.08333333325,"verus","07995578"
"310","da0085fc","a7adef23",NA,NA,NA,3.465,5.37,3.50166666666667,3.165,4.55,4.615,"troglodytes","99391edf"
"311","da0085fc","a7adef23",NA,0,1.459574,3.465,5.37,3.50166666666667,3.165,4.55,4.615,"troglodytes","99391edf"
"312","8907076e","b9c70733",21,1,1.739130435,4.33333333333333,4.2666666667,4.4285714285,4,3.2666666666,4.08333333325,"verus","07995578"
"313","1ecf9282","b9c70733",24,0,1.833333333,4.82222222226667,4.7,4.64285714285714,4.61111111116667,3.7333333332,4.16666666675,"verus","07995578"
"314","4dc81010","a7adef23",NA,NA,NA,3.2875,4.52333333333333,4,3.855,4.28666666666667,4,"troglodytes","99391edf"
"315","4dc81010","a7adef23",NA,0,1.591871,3.2875,4.52333333333333,4,3.855,4.28666666666667,4,"troglodytes","99391edf"
"316","b8c097a6","a7adef23",NA,0,1.557938,3.70625,4.66666666666667,4.42333333333333,4.64,3.63666666666667,4.09,"troglodytes","99391edf"
"317","ebc71534","b9c70733",9,1,1.607692308,3.35555555546667,3.9333333333,4.90476190478571,3.27777777783333,4.6666666666,3.3333333335,"hybrid","07995578"
"318","89a09e8b","a7adef23",NA,1,1.663665,4.225,4.43333333333333,3.56666666666667,3.45,4.4,4.2,"unknown","99391edf"
"319","daa71c19","b9c70733",11,0,2.007633588,4.05333333333333,5.02,3.98571428571429,5.26666666666667,5.36,4.05,"verus","07995578"
"320","daa71c19","b9c70733",10,0,1.948275862,4.05333333333333,5.02,3.98571428571429,5.26666666666667,5.36,4.05,"verus","07995578"
"321","2faf9baf","a7adef23",NA,0,NA,3.48,5.635,3.32166666666667,3.65,4.65,5.45,"troglodytes","99391edf"
"322","2faf9baf","a7adef23",NA,0,1.52798,3.48,5.635,3.32166666666667,3.65,4.65,5.45,"troglodytes","99391edf"
"323","7ca8193d","b9c70733",7,1,1.681818182,3.688888889,5.3999999999,4.28571428571429,3.5,4.3333333334,6,"hybrid","07995578"
"324","7ca8193d","b9c70733",7,1,2.037037037,3.688888889,5.3999999999,4.28571428571429,3.5,4.3333333334,6,"hybrid","07995578"
"325","21a5f91d","b9c70733",13,0,1.979591837,3.9555555556,3.9666666666,4.04761904771429,3.38888888883333,3.7333333332,4,"verus","07995578"
"326","72a27b8f","b9c70733",43,1,1.900621118,3.9111111112,4.4333333334,5.26190476192857,4.66666666666667,3.8,3.08333333325,"verus","07995578"
"327","87aafc39","b9c70733",18,1,2.415929204,4.0444444444,4.4333333333,4.47619047621429,4.111111111,3.1333333334,4.08333333325,"verus","07995578"
"328","87aafc39","b9c70733",20,1,2.093023256,4.0444444444,4.4333333333,4.47619047621429,4.111111111,3.1333333334,4.08333333325,"verus","07995578"
"329","d4ad7eab","b9c70733",25,0,2.274509804,4.15555555546667,4.1333333334,4.83333333335714,3.44444444433333,3.8666666666,3.3333333335,"verus","07995578"
"330","b6caf514","b9c70733",41,0,1.459183673,3.71111111106667,3.2666666668,4.1904761905,3.11111111116667,4.6666666666,3.6666666665,"verus","07995578"
