"","ID","lower.face","face.height","lffh"
"96","Louis",228.705050228455,850.795510096286,0.268813184266301
"97","Louis",93.2630687893123,311.201703080173,0.299686884314015
"98","Lucy",100.036443359408,383.408815756759,0.260913258246187
"99","Lucy",131.848397790796,416.158623604029,0.316822457381656
"100","Lucy",25.7157539263386,96.0013020745031,0.26786880355416
"101","Lucy",576.031249152335,1951.2688179746,0.295208555503004
"102","Lucy",140.071410359145,446.443725457084,0.313749308976703
"103","Lucy",155.33219241355,624.005841318813,0.248927465302666
"104","Lyndsey",129.035576489587,531.726790748783,0.242672700970883
"105","Lyndsey",122.686266550091,523.911232939322,0.234173766158399
"106","Paul",72.5603197346869,346.975503458097,0.209122312703697
"107","Paul",78.9176786277954,373.835525331662,0.211102672914193
"108","Paul",85.6597922014757,289.533970373081,0.295854030845148
"109","Paul",294.431655906766,1000.61231253668,0.294251482035379
"110","Paul",130.613934938046,539.709347704855,0.242007916841702
"111","Paul",159.154013458662,665.547894595122,0.239132322032934
"112","Paul",166.207701385947,661.229914628792,0.251361436784441
"113","Paul",167.451485511476,668.191589291574,0.250604000701371
"114","Paul",176.07100840286,675.32658765963,0.26071979338625
"115","Paul",176.181724364362,686.892276852783,0.256491054422092
"116","Pearl",24.0950202324049,72.1467948006008,0.333972150793374
"117","Pearl",133.96036727331,469.499787007406,0.28532572533669
"118","Pearl",59.464274989274,224.72062655662,0.264614227454067
"119","Pearl",370,1021.2952560352,0.362285047162942
"120","Pearl",341.976607387114,1008.92021488322,0.338953073139383
"121","Pearl",301.378499564916,882.542916803483,0.341488775023531
"122","Pearl",349.413794804956,958.057409553311,0.364710706603552
"123","Pearl",375.366487582469,961.17012021806,0.390530749642228
"124","Pearl",384.011718571192,928.237577347524,0.413699819897962
"125","Qafzeh",131.106826671993,791.531427045067,0.165636918753105
"126","Qafzeh",74.027022093287,352.631535742338,0.209927401806109
"127","Qafzeh",171.046777227751,815.914823985935,0.209638031077984
"128","Qafzeh",63.0713881248859,332.340187157677,0.189779601029598
"129","Qafzeh",79.1580697086532,385.295990116689,0.205447426755414
"130","Qafzeh",166.904164118215,713.484407678262,0.233928257327073
"131","Qafzeh",225.435134794912,992.113904750861,0.227227069105057
"132","Qafzeh",206.475180106472,953.209315942726,0.216610535223596
"133","Rene",86.2090482490092,397.011334850782,0.217145055270049
"134","Rene",99.0201999594022,406.177301187548,0.243785656337504
"135","Rene",68.0073525436772,307.104216838519,0.221447146651968
"136","Rene",125.781556676645,638.200595424354,0.197087808407652
"137","Rene",161.012421881046,734.249276472235,0.219288499206488
"138","Rene",95.1262319236918,586.972742126924,0.162062435095363
"139","Rene",140.520461143564,820.256057582021,0.17131292094056
"140","Sophie",38.0131556174964,103.392456204503,0.367658889371089
"141","Sophie",131.700417615131,488.488485022933,0.269608028956811
"142","Sophie",198.305320150519,723.946130592601,0.273922757192158
"143","Sophie",170.238068598067,723.024895836928,0.235452568201002
"144","Sophie",234.3074902772,864.037036243239,0.271177600552806
"145","Sophie",220.036360631601,844.236933567823,0.260633421593755
"146","Sophie",113.745329574449,455.070324235716,0.249951103195934
"147","Akira",66.6513315695943,226.016990511775,0.294895226322031
"148","Akira",51.0309709882146,189.752259538589,0.268934721053146
"149","Aruku",17.2290452434254,94.2899782585615,0.182724034532917
"150","Aruku",28.7784641702784,90.03110573574,0.319650235716855
"151","Aruku",30.6789830339925,90.0577592437209,0.340658964775781
"152","Aruku",34.2986880215556,98.2246404931064,0.34918619044437
"153","Ayumu",54.8091233281467,209.918079259505,0.261097679254156
"154","Ayumu",63.6113197473531,267.631986130208,0.237682052385192
"155","Ayumu",121.768304578819,363.706475059216,0.334798286335137
"156","Ayumu",15.5630973780928,58.2343541219442,0.267249420256354
"157","Black",59.0041523962509,162.422443030512,0.363275858282507
"158","Chiko",86.7922231539209,245.088881836774,0.354125501342503
"159","Chloe",34.3145741631745,126.407001388372,0.271461024992963
"160","Cleo",57.3949475128256,187.246254969225,0.306521203974193
"161","Cleo",46.0651712251241,222.910295859119,0.206653403099144
"162","Cleo",47.6681235208604,229.421555220951,0.207775261025287
"163","Cleo",183.65451260451,542.817630516917,0.338335570327033
"164","Cleo",136.499084246012,509.173840647769,0.268079530700868
"165","Cleo",59,190.023682734548,0.310487614759154
"166","Cleo",29.0688837074973,75.1531769122237,0.386795141627196
