"","chimp","Dom","Ext","Con","Agr","Neu","Opn","Dom_CZ","Ext_CZ","Con_CZ","Agr_CZ","Neu_CZ","Opn_CZ"
"292","Joseph",5.25,3.66666666666667,3.38888888888889,3.2,5.83333333333333,3.25,1.29554875761408,-0.737575342116961,-1.34081989327289,-0.920282409172901,2.06975434324904,-0.775814920997682
"293","Juan",2.75,3.88888888888889,5.77777777777778,4.6,2.66666666666667,2.5,-1.73947511034722,-0.462665095249991,1.47312971714852,0.931439103731855,-1.5437574400558,-1.51946326870994
"294","Julianne",3.16666666666667,6.66666666666667,5.66666666666667,4.8,5,5.5,-1.23363779902034,2.97371299058713,1.34224833991962,1.19597074843254,1.11883018974776,1.45513012213909
"295","Julie",4.25,4.77777777777778,4.33333333333333,3.2,4.66666666666667,3.5,0.0815392104295597,0.636975892217887,-0.228328186827217,-0.920282409172901,0.738460528347255,-0.52793213842693
"296","Justin",4.54166666666667,4.72222222222222,4.61111111111111,3.3,4.16666666666667,5.25,0.435625328358379,0.568248330501145,0.0988752562450396,-0.788016586822562,0.167906036246491,1.20724733956834
"297","Kasey",2.83333333333333,3.22222222222222,4.22222222222222,3,5.33333333333333,3,-1.63830764808185,-1.2873958358509,-0.359209564056119,-1.18481405387358,1.49919985114827,-1.02369770356844
"298","Katrina",3.91666666666667,5.05555555555556,6.22222222222222,5.1,4,5,-0.323130638631948,0.980613700801598,1.99665522606413,1.59276821548355,-0.0222787944537642,0.959364556997588
"299","Kengee",6.25,4.83333333333333,4.27777777777778,3.4,4,4.5,2.5095583047986,0.705703453934629,-0.293768875441668,-0.655750764472222,-0.0222787944537642,0.463598991856082
"300","Kevin",4.41666666666667,4.55555555555556,3.33333333333333,2,5.66666666666667,5,0.283874134960314,0.362065645350917,-1.40626058188734,-2.50747227737698,1.87956951254878,0.959364556997588
"301","Lamar",4.04166666666667,5.44444444444444,5.16666666666667,4.9,4.16666666666667,5.75,-0.171379445233882,1.4617066328188,0.753282142389553,1.32823657078288,0.167906036246491,1.70301290470985
"302","Lana",3.58333333333333,4.27777777777778,5.66666666666667,5.5,3.33333333333333,4.5,-0.727800487693455,0.0184278367672055,1.34224833991962,2.12183150488491,-0.783018117254783,0.463598991856082
"303","Lee",4.625,4.27777777777778,4.33333333333333,4.1,3.66666666666667,4,0.536792790623755,0.0184278367672055,-0.228328186827217,0.270109991980156,-0.402648455854274,-0.0321665732854236
"304","Lena",3.70833333333333,3.94444444444444,5.27777777777778,4.2,4.5,4.5,-0.576049294295389,-0.393937533533248,0.884163519618456,0.402375814330497,0.548275697647,0.463598991856082
"305","Les",2.70833333333333,3.33333333333333,4.16666666666667,3.1,6,3,-1.79005884147991,-1.14994071241741,-0.42465025267057,-1.05254823152324,2.25993917394929,-1.02369770356844
"306","Leslie",4.25,3.44444444444444,5.61111111111111,4.3,2.5,3.5,0.0815392104295597,-1.01248558898393,1.27680765130516,0.534641636680836,-1.73394227075606,-0.52793213842693
"307","Lil'One",4.45833333333333,4.33333333333333,5.5,5,4.16666666666667,4.75,0.334457866093001,0.0871553984839477,1.14592627407626,1.46050239313322,0.167906036246491,0.711481774426835
"308","Lindsey",4.16666666666667,5,4.05555555555556,3.9,5,4.5,-0.0196282518358167,0.911886139084856,-0.555531629899473,0.00557834727947718,1.11883018974776,0.463598991856082
"309","Liza",4.5,5.55555555555556,4.88888888888889,3.8,5.33333333333333,5,0.38504159722569,1.59916175625228,0.426078699317297,-0.126687475070863,1.49919985114827,0.959364556997588
"310","Lizzie",4.25,5.77777777777778,5.44444444444444,4.4,4.66666666666667,5,0.0815392104295597,1.87407200311925,1.08048558546181,0.666907459031177,0.738460528347255,0.959364556997588
"311","Lolita",3.91666666666667,3.55555555555556,5.33333333333333,4.4,3.66666666666667,3.5,-0.323130638631948,-0.875030465550445,0.949604208232907,0.666907459031177,-0.402648455854274,-0.52793213842693
"312","Lucas",5.33333333333333,4.77777777777778,3.44444444444444,3,6.66666666666667,2.5,1.39671621987946,0.636975892217887,-1.27537920465844,-1.18481405387358,3.02067849675031,-1.51946326870994
"313","Lucy",2.58333333333333,4.11111111111111,5.33333333333333,5.6,3,2,-1.94181003487798,-0.187754848383022,0.949604208232907,2.25409732723525,-1.16338777865529,-2.01522883385145
"314","Lulu",3.5,4.55555555555556,5.88888888888889,5,5.66666666666667,3.5,-0.828967949958832,0.362065645350917,1.60401109437742,1.46050239313322,1.87956951254878,-0.52793213842693
