Day,Month,Year,Observer ID,Start Time,Duration ,Aggression,Victim 1,Support,Supporter 1,Supporter 2,Supporter 3,Supporter 4,Supporter 5,Supporter 6,Dyadic +,Context,Aggressor ,Support,Support 1,Support 2,Support 3,Support 4,Support 5,Contact ,Directed non-contact,Display,Decided interaction,Notes,,,,,,,,
Day,Month,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sep,2012,RB,11:03,31,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sep,2012,RB,11:35,33,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sep,2012,RB,12:11,33,Y,KD,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,LB,N,N/A,N/A,N/A,N/A,N/A,N,Y,N,N,"LB chased KD out of Pod 3, others followed but couldn't see who supported who as all OOS",,,,,,,,
17,Sep,2012,RB,14:25,11,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sep,2012,RB,14:43,20,Y,LI,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,ED,N,N/A,N/A,N/A,N/A,N/A,Y,N,N,Y,ED displayed at LI and then ran into her. LO just watched from 1m away,,,,,,,,
17,Sep,2012,RB,15:08,34,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sep,2012,RB,09:24,32,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sep,2012,RB,09:59,32,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sep,2012,RB,10:33,32,Y,LI,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,ED,N,N/A,N/A,N/A,N/A,N/A,Y,N,N,Y,ED started displaying and clapping at LI and then ran into her,,,,,,,,
18,Sep,2012,RB,10:33,32,Y,LI,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,ED,N,N/A,N/A,N/A,N/A,N/A,N,Y,N,N,ED displayed and clapped at LI and started swinging ropes,,,,,,,,
18,Sep,2012,RB,11:12,32,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sep,2012,RB,11:57,17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sep,2012,RB,15:38,31,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
