Animal,Rater,Date,Facility,Fearful,Dominant,Cautious,Curious,Innovative,Bullying,Submissive,Cool,Quitting,Erratic,Anxious,Socially withdrawn,Stable,Autistic,Thoughtless,Stingy.Greedy,Jealous,Individualistic,Reckless,Sociable,Distractible,Timid,Sympathetic,Playful,Solitary,Vulnerable,Active,Helpful,Aggressive,Manipulative,Gentle,Affectionate,Excitable,Impulsive,Inquisitive,Dependent.Follower,Irritable,Unperceptive,Predictable,Decisive,Conventional,Sensitive,Defiant,Intelligent,Protective,Inventive,Clumsy,Friendly,Lazy,Disorganized,Unemotional,Imitative,Independent,Persistent
SR603268,CF2,04/05/2016,ZX6012,5,3,3,5,5,5,5,2,5,6,4,1,2,1,5,4,5,5,5,5,5,3,4,6,3,4,6,4,5,5,3,5,6,6,5,4,4,5,2,3,2,3,5,3,4,5,3,5,2,5,2,5,4,5
BT907059,KB1,04/05/2016,ZX6012,4,4,4,4,1,3,3,6,4,2,3,3,4,5,3,6,4,2,3,5,3,3,5,2,6,3,1,4,2,2,4,5,2,2,3,4,4,4,6,5,6,5,2,4,5,2,5,5,7,2,4,5,3,2
BT907059,CF2,04/05/2016,ZX6012,2,5,3,3,3,4,3,6,3,2,4,2,6,5,5,2,3,5,4,4,3,3,4,2,4,2,1,4,3,4,4,4,2,3,3,3,3,5,6,4,6,3,4,3,3,3,7,4,7,5,6,4,5,4
KB618623,KB1,04/05/2016,ZX6012,5,2,5,1,1,2,5,6,4,2,4,6,2,4,1,1,1,2,1,2,3,5,4,2,3,4,4,5,1,1,5,4,3,2,2,4,2,4,6,5,6,5,1,4,4,1,4,4,4,3,4,4,4,1
KB618623,CF2,04/05/2016,ZX6012,5,3,4,3,3,4,5,3,5,5,6,5,3,6,4,4,4,4,4,3,5,4,4,2,5,5,3,4,4,3,4,3,5,5,3,5,5,5,3,3,3,3,4,3,4,3,4,3,5,4,3,4,3,4
TY477886,KB1,04/05/2016,ZX6012,5,2,5,2,2,2,6,4,5,4,6,4,2,6,2,2,1,2,1,2,5,6,4,2,3,5,5,3,2,2,4,5,4,4,3,5,3,4,4,3,3,4,1,3,4,3,4,4,2,4,4,4,3,2
TY477886,CF2,04/05/2016,ZX6012,7,2,6,4,4,2,6,5,5,3,6,3,5,6,5,1,2,5,2,3,5,5,5,3,5,7,4,5,2,2,6,3,3,3,4,6,2,5,5,3,5,3,2,3,2,4,4,3,4,5,5,3,2,2
KH988531,KB1,04/05/2016,ZX6012,2,5,2,5,5,5,2,3,4,6,2,2,5,1,4,4,6,6,6,5,6,2,2,7,5,2,7,5,5,5,2,5,5,5,6,2,6,5,2,4,2,3,3,4,4,7,4,3,1,6,1,5,6,5
KH988531,CF2,04/05/2016,ZX6012,3,4,2,7,6,7,4,1,6,7,3,1,1,1,5,6,7,6,6,5,6,2,2,6,2,3,6,2,6,7,2,5,7,7,7,2,6,4,1,6,1,4,6,4,6,6,2,4,2,5,1,7,6,6
OM474365,KB1,04/05/2016,ZX6012,4,3,4,3,1,2,5,3,5,5,5,5,3,4,2,2,2,3,1,3,5,5,4,2,4,4,4,5,1,4,5,5,3,3,4,5,2,4,5,4,5,6,1,4,4,3,5,3,2,5,5,5,2,2
OM474365,CF2,04/05/2016,ZX6012,4,4,3,5,4,4,4,3,4,4,4,2,3,4,4,4,4,4,5,5,4,3,4,4,3,4,4,4,4,5,4,5,5,5,5,4,4,3,4,4,4,5,5,5,4,4,5,5,4,4,3,5,4,5
ZL607999,KB1,04/05/2016,ZX6012,2,6,1,4,4,4,2,6,3,2,2,4,7,3,3,4,4,3,3,3,3,1,5,5,4,1,5,5,5,5,4,5,2,2,5,2,3,3,6,6,6,4,2,5,4,4,1,5,2,2,5,4,7,3
ZL607999,CF2,04/05/2016,ZX6012,2,6,3,4,4,5,2,3,3,5,3,2,3,2,3,5,5,5,5,5,3,3,4,4,3,3,5,5,5,5,3,5,5,5,4,3,4,3,3,5,3,5,5,5,6,4,3,5,3,3,3,5,5,5
GP692024,KB1,04/05/2016,ZX6012,4,4,4,5,3,4,3,5,4,2,3,3,4,3,3,6,5,3,3,5,3,3,5,2,6,3,2,3,3,4,3,5,3,2,5,3,4,4,6,5,6,5,3,5,5,3,5,5,7,2,4,5,3,4
GP692024,CF2,04/05/2016,ZX6012,2,5,2,6,6,4,3,5,3,4,2,1,5,1,4,3,4,6,5,6,3,2,5,5,2,2,5,5,4,5,4,6,3,3,6,3,4,2,4,5,4,6,5,6,6,6,5,6,3,4,5,5,5,5
